candidate_cell_id,route_id,state_line,W,d,g,qualified_event_count,unique_securities,retained_confirmed_day_ratio,short_interval_drop_rate,bridged_day_ratio,merge_ratio,open_event_ratio,nonzero_years,max_year_share,duration_q95_ratio
r2_s_pct_w120_q20_shared__d1__g0,r2_s_pct_w120_q20_shared,S_PCT,120,1,0,5525,777,1.0,0.0,0.0,0.0,0.0,11,0.1623529411764706,1.0
r2_s_pct_w120_q20_shared__d1__g1,r2_s_pct_w120_q20_shared,S_PCT,120,1,1,5268,777,1.0,0.0,0.0194006190080773,0.04726651480637813,0.0,11,0.1611617312072893,1.1666666666666667
r2_s_pct_w120_q20_shared__d1__g2,r2_s_pct_w120_q20_shared,S_PCT,120,1,2,5131,777,1.0,0.0,0.03840867992766727,0.07133112453712727,0.0,11,0.1598129019684272,1.3333333333333333
r2_s_pct_w120_q20_shared__d2__g0,r2_s_pct_w120_q20_shared,S_PCT,120,2,0,3013,752,0.7986534145559474,0.45472654835204634,0.0,0.0,0.0,11,0.1742449385994026,1.1666666666666667
r2_s_pct_w120_q20_shared__d2__g1,r2_s_pct_w120_q20_shared,S_PCT,120,2,1,2916,752,0.7986534145559474,0.45472654835204634,0.00945880058508045,0.03292181069958848,0.0,11,0.1700960219478738,1.3333333333333333
r2_s_pct_w120_q20_shared__d2__g2,r2_s_pct_w120_q20_shared,S_PCT,120,2,2,2868,752,0.7986534145559474,0.45472654835204634,0.018451242829827914,0.04881450488145049,0.0,11,0.1691073919107392,1.5
r2_s_pct_w120_q20_shared__d3__g0,r2_s_pct_w120_q20_shared,S_PCT,120,3,0,1682,670,0.5852837447899968,0.6955813111191598,0.0,0.0,0.0,11,0.1807372175980975,1.3333333333333333
r2_s_pct_w120_q20_shared__d3__g1,r2_s_pct_w120_q20_shared,S_PCT,120,3,1,1641,670,0.5852837447899968,0.6955813111191598,0.005521885521885522,0.024984765386959172,0.0,11,0.17794028031687995,1.5
r2_s_pct_w120_q20_shared__d3__g2,r2_s_pct_w120_q20_shared,S_PCT,120,3,2,1628,670,0.5852837447899968,0.6955813111191598,0.008956021922202915,0.032555282555282554,0.0,11,0.1769041769041769,1.6666666666666667
r2_s_pct_w120_qt25_primary__d1__g0,r2_s_pct_w120_qt25_primary,S_PCT,120,1,0,7671,783,1.0,0.0,0.0,0.0,0.0,11,0.16621040281579977,1.0
r2_s_pct_w120_qt25_primary__d1__g1,r2_s_pct_w120_qt25_primary,S_PCT,120,1,1,7236,783,1.0,0.0,0.019973368841544607,0.0562465450525152,0.0,11,0.16487009397457159,1.2857142857142858
r2_s_pct_w120_qt25_primary__d1__g2,r2_s_pct_w120_qt25_primary,S_PCT,120,1,2,6997,783,1.0,0.0,0.04007198033707865,0.08732313848792339,0.0,11,0.16278405030727455,1.4285714285714286
r2_s_pct_w120_qt25_primary__d2__g0,r2_s_pct_w120_qt25_primary,S_PCT,120,2,0,4733,771,0.8565009280062519,0.38290932811480755,0.0,0.0,0.0,11,0.17282907246989224,1.1428571428571428
r2_s_pct_w120_qt25_primary__d2__g1,r2_s_pct_w120_qt25_primary,S_PCT,120,2,1,4561,771,0.8565009280062519,0.38290932811480755,0.009528030135165079,0.03683402762552072,0.0,11,0.17123437842578382,1.2857142857142858
r2_s_pct_w120_qt25_primary__d2__g2,r2_s_pct_w120_qt25_primary,S_PCT,120,2,2,4472,771,0.8565009280062519,0.38290932811480755,0.01900005428586939,0.05635062611806798,0.0,11,0.16949910554561717,1.4285714285714286
r2_s_pct_w120_qt25_primary__d3__g0,r2_s_pct_w120_qt25_primary,S_PCT,120,3,0,2961,752,0.6834033408225066,0.6140900195694716,0.0,0.0,0.0,11,0.18000675447483958,1.2857142857142858
r2_s_pct_w120_qt25_primary__d3__g1,r2_s_pct_w120_qt25_primary,S_PCT,120,3,1,2874,752,0.6834033408225066,0.6140900195694716,0.006103978109871606,0.029575504523312455,0.0,11,0.17884481558803061,1.5714285714285714
r2_s_pct_w120_qt25_primary__d3__g2,r2_s_pct_w120_qt25_primary,S_PCT,120,3,2,2831,752,0.6834033408225066,0.6140900195694716,0.01198475926567371,0.04486047333097845,0.0,11,0.17802896503002472,1.5714285714285714
