candidate_cell_id,route_id,d,g,status,security_count,component_count,event_count,error,state_line,W,candidate_role,objective_values,hard_gate_status,warning_count,complexity,baseline_distance,pareto_status,decision_unit
r2_s_pct_w120_q20_shared__d1__g0,r2_s_pct_w120_q20_shared,1,0,completed,800,5525,5525,,S_PCT,120,strict_core_reference,"{""qualified_event_count"":5525.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.0,""merge_ratio"":0.0,""open_event_ratio"":0.0,""duration_q95_ratio"":1.0,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.4546606334841629,""confirmed_density"":1.0,""mega_zone_concentration"":0.049615261301699264,""max_single_gap"":0.0}",passed,0,1,1,dominated,S_PCT×W120
r2_s_pct_w120_q20_shared__d1__g1,r2_s_pct_w120_q20_shared,1,1,completed,800,5525,5268,,S_PCT,120,strict_core_reference,"{""qualified_event_count"":5268.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.0194006190080773,""merge_ratio"":0.04726651480637813,""open_event_ratio"":0.0,""duration_q95_ratio"":1.1666666666666667,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.4546606334841629,""confirmed_density"":0.9417981429757681,""mega_zone_concentration"":0.0548048614780705,""max_single_gap"":1.0}",passed,0,1,2,dominated,S_PCT×W120
r2_s_pct_w120_q20_shared__d1__g2,r2_s_pct_w120_q20_shared,1,2,completed,800,5525,5131,,S_PCT,120,strict_core_reference,"{""qualified_event_count"":5131.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.03840867992766727,""merge_ratio"":0.07133112453712727,""open_event_ratio"":0.0,""duration_q95_ratio"":1.3333333333333333,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.4546606334841629,""confirmed_density"":0.9024231464737794,""mega_zone_concentration"":0.058010849909584085,""max_single_gap"":2.0}",passed,0,1,3,dominated,S_PCT×W120
r2_s_pct_w120_q20_shared__d2__g0,r2_s_pct_w120_q20_shared,2,0,completed,800,5525,3013,,S_PCT,120,strict_core_reference,"{""qualified_event_count"":3013.0,""retained_confirmed_day_ratio"":0.7986534145559474,""bridged_day_ratio"":0.0,""merge_ratio"":0.0,""open_event_ratio"":0.0,""duration_q95_ratio"":1.1666666666666667,""component_qualification_rate"":0.5454380883417813,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.4546606334841629,""confirmed_density"":1.0,""mega_zone_concentration"":0.03853873946206343,""max_single_gap"":0.0}",passed,0,1,2,non_dominated,S_PCT×W120
r2_s_pct_w120_q20_shared__d2__g1,r2_s_pct_w120_q20_shared,2,1,completed,800,5525,2916,,S_PCT,120,strict_core_reference,"{""qualified_event_count"":2916.0,""retained_confirmed_day_ratio"":0.7986534145559474,""bridged_day_ratio"":0.00945880058508045,""merge_ratio"":0.03292181069958848,""open_event_ratio"":0.0,""duration_q95_ratio"":1.3333333333333333,""component_qualification_rate"":0.5454380883417813,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.4546606334841629,""confirmed_density"":0.9716235982447586,""mega_zone_concentration"":0.04134568503169186,""max_single_gap"":1.0}",passed,0,1,3,dominated,S_PCT×W120
r2_s_pct_w120_q20_shared__d2__g2,r2_s_pct_w120_q20_shared,2,2,completed,800,5525,2868,,S_PCT,120,strict_core_reference,"{""qualified_event_count"":2868.0,""retained_confirmed_day_ratio"":0.7986534145559474,""bridged_day_ratio"":0.018451242829827914,""merge_ratio"":0.04881450488145049,""open_event_ratio"":0.0,""duration_q95_ratio"":1.5,""component_qualification_rate"":0.5454380883417813,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.4546606334841629,""confirmed_density"":0.9525812619502868,""mega_zone_concentration"":0.04378585086042065,""max_single_gap"":2.0}",passed,0,1,4,dominated,S_PCT×W120
r2_s_pct_w120_q20_shared__d3__g0,r2_s_pct_w120_q20_shared,3,0,completed,800,5525,1682,,S_PCT,120,strict_core_reference,"{""qualified_event_count"":1682.0,""retained_confirmed_day_ratio"":0.5852837447899968,""bridged_day_ratio"":0.0,""merge_ratio"":0.0,""open_event_ratio"":0.0,""duration_q95_ratio"":1.3333333333333333,""component_qualification_rate"":0.3045446315408293,""qualification_delay_observations_q90"":2.0,""atomic_fragment_rate"":0.4546606334841629,""confirmed_density"":1.0,""mega_zone_concentration"":0.03177211722815667,""max_single_gap"":0.0}",passed,0,1,3,non_dominated,S_PCT×W120
r2_s_pct_w120_q20_shared__d3__g1,r2_s_pct_w120_q20_shared,3,1,completed,800,5525,1641,,S_PCT,120,strict_core_reference,"{""qualified_event_count"":1641.0,""retained_confirmed_day_ratio"":0.5852837447899968,""bridged_day_ratio"":0.005521885521885522,""merge_ratio"":0.024984765386959172,""open_event_ratio"":0.0,""duration_q95_ratio"":1.5,""component_qualification_rate"":0.3045446315408293,""qualification_delay_observations_q90"":2.0,""atomic_fragment_rate"":0.4546606334841629,""confirmed_density"":0.9834343434343434,""mega_zone_concentration"":0.0338047138047138,""max_single_gap"":1.0}",passed,0,1,4,dominated,S_PCT×W120
r2_s_pct_w120_q20_shared__d3__g2,r2_s_pct_w120_q20_shared,3,2,completed,800,5525,1628,,S_PCT,120,strict_core_reference,"{""qualified_event_count"":1628.0,""retained_confirmed_day_ratio"":0.5852837447899968,""bridged_day_ratio"":0.008956021922202915,""merge_ratio"":0.032555282555282554,""open_event_ratio"":0.0,""duration_q95_ratio"":1.6666666666666667,""component_qualification_rate"":0.3045446315408293,""qualification_delay_observations_q90"":2.0,""atomic_fragment_rate"":0.4546606334841629,""confirmed_density"":0.9760727175511296,""mega_zone_concentration"":0.03595775965779976,""max_single_gap"":2.0}",passed,0,1,5,dominated,S_PCT×W120
r2_s_pct_w120_qt25_primary__d1__g0,r2_s_pct_w120_qt25_primary,1,0,completed,800,7671,7671,,S_PCT,120,primary,"{""qualified_event_count"":7671.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.0,""merge_ratio"":0.0,""open_event_ratio"":0.0,""duration_q95_ratio"":1.0,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.38300091252770174,""confirmed_density"":1.0,""mega_zone_concentration"":0.04947738595291589,""max_single_gap"":0.0}",passed,4,2,1,non_dominated,S_PCT×W120
