candidate_cell_id,gate_id,state_line,metric_id,scope,observed_value,expected_rule,threshold,status,missing_evidence,hard_gate_override,selection_eligibility,candidate_role,d,g
r2_s_pct_w120_qt25_primary__d2__g1,s_pct_qualified_event_count,S_PCT,qualified_event_count,CELL,4561.0,>=384,384.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,s_pct_unique_securities,S_PCT,unique_securities,CELL,771.0,>=157,157.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,s_pct_retained_confirmed_day_ratio,S_PCT,retained_confirmed_day_ratio,CELL,0.8565009280062519,>=0.35,0.35,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,s_pct_short_interval_drop_rate,S_PCT,short_interval_drop_rate,CELL,0.38290932811480755,<=0.8,0.8,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,s_pct_bridged_day_ratio,S_PCT,bridged_day_ratio,CELL,0.009528030135165079,<=0.3,0.3,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,s_pct_merge_ratio,S_PCT,merge_ratio,CELL,0.03683402762552072,<=0.7,0.7,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,s_pct_open_event_ratio,S_PCT,open_event_ratio,CELL,0.0,<=0.1,0.1,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,s_pct_nonzero_years,S_PCT,nonzero_years,CELL,11.0,>=8,8.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,s_pct_max_year_share,S_PCT,max_year_share,CELL,0.17123437842578382,<=0.35,0.35,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,s_pct_duration_q95_ratio,S_PCT,duration_q95_ratio,CELL,1.2857142857142858,<=3.0,3.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,lineage_mismatch,GLOBAL,lineage_mismatch,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,schema_mismatch,GLOBAL,schema_mismatch,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,source_hash_mismatch,GLOBAL,source_hash_mismatch,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,superseded_input,GLOBAL,superseded_input,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,duplicate_primary_key,GLOBAL,duplicate_primary_key,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,missing_expected_trading_row,GLOBAL,missing_expected_trading_row,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,unknown_bridge,GLOBAL,unknown_bridge,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,blocked_bridge,GLOBAL,blocked_bridge,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,diagnostic_required_bridge,GLOBAL,diagnostic_required_bridge,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,ineligible_bridge,GLOBAL,ineligible_bridge,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,confirmed_day_conservation_mismatch,GLOBAL,confirmed_day_conservation_mismatch,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,event_overlap_within_same_route_cell_security,GLOBAL,event_overlap_within_same_route_cell_security,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,post_merge_short_zone,GLOBAL,post_merge_short_zone,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,risk_set_violation,GLOBAL,risk_set_violation,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,strict_core_subset_violation,GLOBAL,strict_core_subset_violation,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,event_id_instability,GLOBAL,event_id_instability,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,availability_backfill,GLOBAL,availability_backfill,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,right_censor_misclassified_as_natural_exit,GLOBAL,right_censor_misclassified_as_natural_exit,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,prequalification_censor_included_in_drop_denominator,GLOBAL,prequalification_censor_included_in_drop_denominator,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,forbidden_output_field,GLOBAL,forbidden_output_field,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,transition_closure_violation,GLOBAL,transition_closure_violation,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,asof_membership_leakage,GLOBAL,asof_membership_leakage,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,unqualified_reentry_unfinalized,GLOBAL,unqualified_reentry_unfinalized,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,censor_contamination,GLOBAL,censor_contamination,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,raw_false_gap_days_exceed_g,GLOBAL,raw_false_gap_days_exceed_g,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,preconfirmation_days_exceed_k_minus_one_bound,GLOBAL,preconfirmation_days_exceed_k_minus_one_bound,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,total_nonconfirmed_gap_days_exceed_k_bound,GLOBAL,total_nonconfirmed_gap_days_exceed_k_bound,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,event_zone_revision_regression,GLOBAL,event_zone_revision_regression,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,status_asof_timeline_gap,GLOBAL,status_asof_timeline_gap,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_qt25_primary__d2__g1,strict_core_shell_reconciliation_mismatch,GLOBAL,strict_core_shell_reconciliation_mismatch,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,primary,2,1
r2_s_pct_w120_q20_shared__d2__g1,s_pct_qualified_event_count,S_PCT,qualified_event_count,CELL,2916.0,>=277,277.0,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,s_pct_unique_securities,S_PCT,unique_securities,CELL,752.0,>=156,156.0,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,s_pct_retained_confirmed_day_ratio,S_PCT,retained_confirmed_day_ratio,CELL,0.7986534145559474,>=0.35,0.35,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,s_pct_short_interval_drop_rate,S_PCT,short_interval_drop_rate,CELL,0.45472654835204634,<=0.8,0.8,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,s_pct_bridged_day_ratio,S_PCT,bridged_day_ratio,CELL,0.00945880058508045,<=0.3,0.3,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,s_pct_merge_ratio,S_PCT,merge_ratio,CELL,0.03292181069958848,<=0.7,0.7,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,s_pct_open_event_ratio,S_PCT,open_event_ratio,CELL,0.0,<=0.1,0.1,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,s_pct_nonzero_years,S_PCT,nonzero_years,CELL,11.0,>=8,8.0,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,s_pct_max_year_share,S_PCT,max_year_share,CELL,0.1700960219478738,<=0.35,0.35,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,s_pct_duration_q95_ratio,S_PCT,duration_q95_ratio,CELL,1.3333333333333333,<=3.0,3.0,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,lineage_mismatch,GLOBAL,lineage_mismatch,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,schema_mismatch,GLOBAL,schema_mismatch,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,source_hash_mismatch,GLOBAL,source_hash_mismatch,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,superseded_input,GLOBAL,superseded_input,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,duplicate_primary_key,GLOBAL,duplicate_primary_key,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,missing_expected_trading_row,GLOBAL,missing_expected_trading_row,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,unknown_bridge,GLOBAL,unknown_bridge,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,blocked_bridge,GLOBAL,blocked_bridge,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,diagnostic_required_bridge,GLOBAL,diagnostic_required_bridge,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,strict_core_reference,2,1
r2_s_pct_w120_q20_shared__d2__g1,ineligible_bridge,GLOBAL,ineligible_bridge,GLOBAL_INHERITED,0.0,=0,0.0,passed,False,False,True,strict_core_reference,2,1
