mutation_id,baseline_status,mutation_applied,expected_error_code,actual_error_codes,specific_error_detected,unrelated_setup_failure,status
M01,passed,True,FROZEN_STATE_VERSION_MISMATCH,"[""FROZEN_STATE_VERSION_MISMATCH"",""SYNTHETIC_ATTEMPT_COUNT_MISMATCH"",""SYNTHETIC_ATTEMPT_ID_MISMATCH"",""SYNTHETIC_LANDMARK_MISMATCH"",""SYNTHETIC_REJECTION_MISMATCH""]",True,False,passed
M02,passed,True,FROZEN_STATE_VERSION_SET_MISMATCH,"[""FROZEN_STATE_VERSION_SET_MISMATCH"",""SCHEMA_VALIDATION_FAILED""]",True,False,passed
M03,passed,True,ANCHOR_DECISION_MISMATCH,"[""ANCHOR_DECISION_MISMATCH"",""SCHEMA_VALIDATION_FAILED""]",True,False,passed
M04,passed,True,ANCHOR_DECISION_MISMATCH,"[""ANCHOR_DECISION_MISMATCH"",""SCHEMA_VALIDATION_FAILED""]",True,False,passed
M05,passed,True,FIRST_ATTEMPT_ONLY_FORBIDDEN,"[""FIRST_ATTEMPT_ONLY_FORBIDDEN""]",True,False,passed
M06,passed,True,LAG_AFTER_FILTERING_FORBIDDEN,"[""LAG_AFTER_FILTERING_FORBIDDEN"",""SCHEMA_VALIDATION_FAILED""]",True,False,passed
M07,passed,True,LATER_ATTEMPT_RISK_SET_POLICY_MISMATCH,"[""LATER_ATTEMPT_RISK_SET_POLICY_MISMATCH"",""SCHEMA_VALIDATION_FAILED""]",True,False,passed
M08,passed,True,POST_EVENT_FIELD_IN_ID,"[""POST_EVENT_FIELD_IN_ID"",""SCHEMA_VALIDATION_FAILED""]",True,False,passed
M09,passed,True,CALENDAR_DAY_HORIZON_FORBIDDEN,"[""CALENDAR_DAY_HORIZON_FORBIDDEN""]",True,False,passed
M10,passed,True,ATTEMPT_LEVEL_RANDOM_SPLIT_FORBIDDEN,"[""ATTEMPT_LEVEL_RANDOM_SPLIT_FORBIDDEN""]",True,False,passed
M11,passed,True,EVENT_SPLIT_LEAKAGE,"[""EVENT_SPLIT_LEAKAGE""]",True,False,passed
M12,passed,True,DOWNSTREAM_GATE_OPEN,"[""DOWNSTREAM_GATE_OPEN""]",True,False,passed
M13,passed,True,FUTURE_OUTCOME_IN_T01,"[""FUTURE_OUTCOME_IN_T01""]",True,False,passed
M14,passed,True,VALIDATOR_PRODUCTION_HELPER_REUSE,"[""VALIDATOR_PRODUCTION_HELPER_REUSE""]",True,False,passed
M15,passed,True,MEMBERSHIP_AVAILABILITY_NOT_T0,"[""MEMBERSHIP_AVAILABILITY_NOT_T0"",""SCHEMA_VALIDATION_FAILED""]",True,False,passed
M16,passed,True,NON_PUBLIC_CANONICAL_FIELD_REFERENCE,"[""NON_PUBLIC_CANONICAL_FIELD_REFERENCE""]",True,False,passed
M17,passed,True,LANDMARK_CROSS_GROUP_CONTAMINATION,"[""LANDMARK_CROSS_GROUP_CONTAMINATION"",""SCHEMA_VALIDATION_FAILED""]",True,False,passed
M18,passed,True,EMPTY_MUTATION_RESULTS,"[""EMPTY_MUTATION_RESULTS""]",True,False,passed
M19,passed,True,PENDING_FORMAL_ARTIFACT,"[""PENDING_FORMAL_ARTIFACT""]",True,False,passed
M20,passed,True,NON_AUTHORITATIVE_TIME_IN_ID,"[""NON_AUTHORITATIVE_TIME_IN_ID"",""SCHEMA_VALIDATION_FAILED""]",True,False,passed
M21,passed,True,MEMBERSHIP_LOOKAHEAD_LEAK,"[""MEMBERSHIP_LOOKAHEAD_LEAK""]",True,False,passed
M22,passed,True,MEMBERSHIP_DERIVED_PRIMARY_ID_FORBIDDEN,"[""MEMBERSHIP_DERIVED_PRIMARY_ID_FORBIDDEN""]",True,False,passed
M23,passed,True,CANONICAL_INTERFACE_PRIMARY_KEY_MISMATCH,"[""CANONICAL_INTERFACE_PRIMARY_KEY_MISMATCH"",""SCHEMA_VALIDATION_FAILED""]",True,False,passed
M24,passed,True,FINAL_VALIDATION_TAMPER_DETECTED,"[""FINAL_VALIDATION_ARTIFACT_HASH_MISMATCH"",""FINAL_VALIDATION_ARTIFACT_SIZE_MISMATCH"",""FINAL_VALIDATION_TAMPER_DETECTED""]",True,False,passed
