calendar_year,indicator_id,row_count,valid_count,valid_rate,zero_count,zero_rate_among_valid,min_value,q05_value,median_value,q95_value,max_value,unique_security_count,valid_security_count
2016,A1_LogBodyCenterToMACloudCenter_5_60,129975,79500,0.6116560877091748,0,0.0,9.354849872522664e-08,0.0018916950609049411,0.021763195158476467,0.08207768555697706,0.3167255768177393,552,530
2016,A2_BodyCenterOutsideMACloudRate20_5_60,129975,68125,0.5241392575495287,335,0.004917431192660551,0.0,0.2,0.45,0.75,1.0,552,517
2016,A2b_BodyToMACloudGapMean20_5_60,129975,68125,0.5241392575495287,974,0.014297247706422019,0.0,0.00037578601376520027,0.0028990904576260412,0.009092912016725367,0.029643732512672338,552,517
2017,A1_LogBodyCenterToMACloudCenter_5_60,139739,118057,0.8448393075662485,0,0.0,1.220116305766794e-07,0.001999786188273589,0.022801533213826275,0.08906735999390222,0.4354687901178744,591,575
2017,A2_BodyCenterOutsideMACloudRate20_5_60,139739,113329,0.811004801809087,878,0.0077473550459282265,0.0,0.15,0.5,0.8,1.0,591,574
2017,A2b_BodyToMACloudGapMean20_5_60,139739,113329,0.811004801809087,2009,0.01772714839096789,0.0,0.0003730044875869254,0.0030532166191496123,0.009926392808079942,0.04413807580539482,591,574
2018,A1_LogBodyCenterToMACloudCenter_5_60,146398,132644,0.906050629106955,0,0.0,4.918663139008572e-07,0.002735762312511603,0.029640961540612132,0.10818913175301566,0.3816320794846124,614,608
2018,A2_BodyCenterOutsideMACloudRate20_5_60,146398,129777,0.8864670282380906,751,0.005786849749955693,0.0,0.2,0.5,0.75,1.0,614,602
2018,A2b_BodyToMACloudGapMean20_5_60,146398,129777,0.8864670282380906,1795,0.013831418510213675,0.0,0.0006324701136041268,0.004233808464595113,0.012718830039013515,0.06277354663643755,614,602
2019,A1_LogBodyCenterToMACloudCenter_5_60,153972,146174,0.9493544280778323,0,0.0,2.1110649228717193e-08,0.002538696084790759,0.028342801880739676,0.10845725308165191,0.5636902004460911,649,640
2019,A2_BodyCenterOutsideMACloudRate20_5_60,153972,143821,0.9340724287532798,648,0.004505600711996162,0.0,0.2,0.5,0.8,1.0,649,639
2019,A2b_BodyToMACloudGapMean20_5_60,153972,143821,0.9340724287532798,1854,0.012891024259322353,0.0,0.0005548359805479297,0.0038786042547231947,0.012837377640027592,0.08125822392073945,649,639
2020,A1_LogBodyCenterToMACloudCenter_5_60,163189,156261,0.9575461581356587,0,0.0,2.393522748889154e-07,0.0028230963378006457,0.031855296991036175,0.12960702525812984,0.6113864198880972,696,686
2020,A2_BodyCenterOutsideMACloudRate20_5_60,163189,154195,0.9448859910900858,886,0.0057459710107331625,0.0,0.2,0.5,0.8,1.0,696,679
2020,A2b_BodyToMACloudGapMean20_5_60,163189,154195,0.9448859910900858,2102,0.01363208923765362,0.0,0.0006467789433884264,0.00473798515913435,0.015523156950004315,0.08634799395435641,696,679
