indicator_id,tail,rank,security_id,trading_date,observation_sequence,raw_value
A1_LogBodyCenterToMACloudCenter_5_60,lower,1,600015.SH,2021-03-24,1270,2.019977962675057e-09
A1_LogBodyCenterToMACloudCenter_5_60,lower,2,002756.SZ,2019-06-24,844,2.1110649228717193e-08
A1_LogBodyCenterToMACloudCenter_5_60,lower,3,000408.SZ,2016-11-07,204,9.354849872522664e-08
A1_LogBodyCenterToMACloudCenter_5_60,lower,4,600100.SH,2025-10-28,2383,1.0966439756288082e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,5,000725.SZ,2017-08-24,401,1.220116305766794e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,6,600377.SH,2019-02-26,765,1.483409710623107e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,7,000776.SZ,2020-10-09,1158,2.393522748889154e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,8,002056.SZ,2023-04-17,1771,2.4019747435488625e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,9,600535.SH,2019-07-12,858,2.708375248516859e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,10,603233.SH,2026-02-24,2077,2.99201755815659e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,11,300395.SZ,2026-02-02,2450,3.072146128602071e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,12,000630.SZ,2020-06-15,1082,3.28497714363607e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,13,600879.SH,2023-10-09,1885,3.299869772988018e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,14,002600.SZ,2026-02-11,2457,3.4025279305183176e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,15,603345.SH,2022-05-27,1279,3.4855186115123615e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,16,601966.SH,2024-02-01,1844,3.5139300891273706e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,17,601607.SH,2016-11-21,214,3.6707015116377306e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,18,002085.SZ,2019-11-06,935,3.75010393849351e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,19,601555.SH,2026-02-03,2451,4.216182385441414e-07
A1_LogBodyCenterToMACloudCenter_5_60,lower,20,600595.SH,2020-02-17,1001,4.68748257098639e-07
A1_LogBodyCenterToMACloudCenter_5_60,upper,1,300251.SZ,2025-02-14,2212,0.7947215781715684
A1_LogBodyCenterToMACloudCenter_5_60,upper,2,300251.SZ,2025-02-17,2213,0.7467928120101437
A1_LogBodyCenterToMACloudCenter_5_60,upper,3,002583.SZ,2024-10-31,2143,0.7242443309751998
A1_LogBodyCenterToMACloudCenter_5_60,upper,4,002583.SZ,2024-10-29,2141,0.6956588941506041
A1_LogBodyCenterToMACloudCenter_5_60,upper,5,002583.SZ,2024-10-30,2142,0.6924161507488478
A1_LogBodyCenterToMACloudCenter_5_60,upper,6,300251.SZ,2025-02-13,2211,0.6920638642545347
A1_LogBodyCenterToMACloudCenter_5_60,upper,7,002583.SZ,2024-10-28,2140,0.6786232121036768
A1_LogBodyCenterToMACloudCenter_5_60,upper,8,300339.SZ,2021-06-11,1323,0.6756876656610489
A1_LogBodyCenterToMACloudCenter_5_60,upper,9,300339.SZ,2024-10-09,2127,0.6756626422497316
A1_LogBodyCenterToMACloudCenter_5_60,upper,10,300803.SZ,2024-10-08,1183,0.6672056021960548
A1_LogBodyCenterToMACloudCenter_5_60,upper,11,002583.SZ,2024-11-01,2144,0.658921957264023
A1_LogBodyCenterToMACloudCenter_5_60,upper,12,000062.SZ,2024-09-06,2111,0.6504054465771469
A1_LogBodyCenterToMACloudCenter_5_60,upper,13,002583.SZ,2024-10-25,2139,0.6474817109572522
A1_LogBodyCenterToMACloudCenter_5_60,upper,14,002583.SZ,2024-10-24,2138,0.6386996591639158
A1_LogBodyCenterToMACloudCenter_5_60,upper,15,000062.SZ,2024-09-05,2110,0.6374462686158822
A1_LogBodyCenterToMACloudCenter_5_60,upper,16,000062.SZ,2024-09-04,2109,0.6265853098518832
A1_LogBodyCenterToMACloudCenter_5_60,upper,17,300339.SZ,2021-06-15,1324,0.6235561392474374
A1_LogBodyCenterToMACloudCenter_5_60,upper,18,000537.SZ,2021-09-24,1395,0.6190448174428251
A1_LogBodyCenterToMACloudCenter_5_60,upper,19,002625.SZ,2020-08-06,1118,0.6113864198880972
A1_LogBodyCenterToMACloudCenter_5_60,upper,20,300059.SZ,2024-10-08,2126,0.6099796455146116
A2_BodyCenterOutsideMACloudRate20_5_60,lower,1,000001.SZ,2017-12-21,481,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,2,000001.SZ,2025-08-11,2333,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,3,000001.SZ,2025-08-12,2334,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,4,000001.SZ,2025-08-13,2335,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,5,000001.SZ,2025-08-14,2336,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,6,000001.SZ,2025-08-15,2337,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,7,000002.SZ,2024-12-06,2169,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,8,000009.SZ,2017-02-24,277,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,9,000009.SZ,2017-02-27,278,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,10,000009.SZ,2017-02-28,279,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,11,000009.SZ,2017-03-01,280,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,12,000009.SZ,2017-03-02,281,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,13,000009.SZ,2017-03-03,282,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,14,000009.SZ,2017-03-06,283,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,15,000009.SZ,2017-03-07,284,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,16,000009.SZ,2017-03-08,285,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,17,000009.SZ,2017-03-09,286,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,18,000009.SZ,2017-06-30,362,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,19,000009.SZ,2017-07-03,363,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,lower,20,000009.SZ,2017-07-04,364,0.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,1,000001.SZ,2023-12-20,1937,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,2,000001.SZ,2023-12-21,1938,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,3,000001.SZ,2026-01-28,2447,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,4,000001.SZ,2026-01-29,2448,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,5,000001.SZ,2026-01-30,2449,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,6,000001.SZ,2026-02-02,2450,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,7,000001.SZ,2026-02-03,2451,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,8,000002.SZ,2024-04-25,2019,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,9,000002.SZ,2025-01-10,2193,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,10,000002.SZ,2025-01-13,2194,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,11,000002.SZ,2025-01-14,2195,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,12,000009.SZ,2021-02-23,1249,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,13,000009.SZ,2021-02-24,1250,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,14,000009.SZ,2021-02-25,1251,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,15,000009.SZ,2026-06-01,2525,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,16,000009.SZ,2026-06-02,2526,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,17,000009.SZ,2026-06-03,2527,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,18,000009.SZ,2026-06-04,2528,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,19,000009.SZ,2026-06-05,2529,1.0
A2_BodyCenterOutsideMACloudRate20_5_60,upper,20,000009.SZ,2026-06-08,2530,1.0
A2b_BodyToMACloudGapMean20_5_60,lower,1,000001.SZ,2017-12-21,481,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,2,000001.SZ,2020-12-29,1215,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,3,000001.SZ,2024-06-20,2055,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,4,000001.SZ,2024-11-14,2153,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,5,000001.SZ,2024-11-15,2154,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,6,000001.SZ,2024-11-18,2155,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,7,000001.SZ,2024-11-19,2156,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,8,000001.SZ,2024-11-20,2157,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,9,000001.SZ,2024-11-21,2158,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,10,000001.SZ,2024-11-22,2159,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,11,000001.SZ,2024-11-25,2160,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,12,000001.SZ,2024-11-26,2161,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,13,000001.SZ,2024-11-27,2162,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,14,000001.SZ,2024-11-28,2163,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,15,000001.SZ,2024-11-29,2164,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,16,000001.SZ,2024-12-02,2165,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,17,000001.SZ,2024-12-03,2166,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,18,000001.SZ,2024-12-04,2167,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,19,000001.SZ,2024-12-05,2168,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,20,000001.SZ,2024-12-06,2169,0.0
A2b_BodyToMACloudGapMean20_5_60,upper,1,000062.SZ,2024-09-09,2112,0.1105009072095422
A2b_BodyToMACloudGapMean20_5_60,upper,2,000062.SZ,2024-09-10,2113,0.1105009072095422
A2b_BodyToMACloudGapMean20_5_60,upper,3,000062.SZ,2024-09-11,2114,0.1105009072095422
A2b_BodyToMACloudGapMean20_5_60,upper,4,000062.SZ,2024-09-12,2115,0.1105009072095422
A2b_BodyToMACloudGapMean20_5_60,upper,5,000062.SZ,2024-09-06,2111,0.10922267468659697
A2b_BodyToMACloudGapMean20_5_60,upper,6,002583.SZ,2024-10-31,2143,0.10805151872803138
A2b_BodyToMACloudGapMean20_5_60,upper,7,000062.SZ,2024-09-13,2116,0.10767864274469327
A2b_BodyToMACloudGapMean20_5_60,upper,8,002583.SZ,2024-11-01,2144,0.10565818101193096
