calendar_year,indicator_id,row_count,present_count,valid_count,valid_rate_expected,valid_rate_present,unknown_count,blocked_count,diagnostic_required_count,unique_security_count,valid_security_count
2016,A1_LogBodyCenterToMACloudCenter_5_60,129975,122417,79500,0.6116560877091748,0.6494196067539639,28125,22350,0,552,530
2016,A2_BodyCenterOutsideMACloudRate20_5_60,129975,122417,68125,0.5241392575495287,0.5564995057875949,35999,25851,0,552,517
2016,A2b_BodyToMACloudGapMean20_5_60,129975,122417,68125,0.5241392575495287,0.5564995057875949,35999,25851,0,552,517
2017,A1_LogBodyCenterToMACloudCenter_5_60,139739,133205,118057,0.8448393075662485,0.8862805450245862,2133,19549,0,591,575
2017,A2_BodyCenterOutsideMACloudRate20_5_60,139739,133205,113329,0.811004801809087,0.8507863818925716,2860,23550,0,591,574
2017,A2b_BodyToMACloudGapMean20_5_60,139739,133205,113329,0.811004801809087,0.8507863818925716,2860,23550,0,591,574
2018,A1_LogBodyCenterToMACloudCenter_5_60,146398,142250,132644,0.906050629106955,0.9324710017574692,1613,12141,0,614,608
2018,A2_BodyCenterOutsideMACloudRate20_5_60,146398,142250,129777,0.8864670282380906,0.9123163444639719,2096,14525,0,614,602
2018,A2b_BodyToMACloudGapMean20_5_60,146398,142250,129777,0.8864670282380906,0.9123163444639719,2096,14525,0,614,602
2019,A1_LogBodyCenterToMACloudCenter_5_60,153972,153590,146174,0.9493544280778323,0.9517156064847971,1909,5889,0,649,640
2019,A2_BodyCenterOutsideMACloudRate20_5_60,153972,153590,143821,0.9340724287532798,0.9363955986717886,2520,7631,0,649,639
2019,A2b_BodyToMACloudGapMean20_5_60,153972,153590,143821,0.9340724287532798,0.9363955986717886,2520,7631,0,649,639
2020,A1_LogBodyCenterToMACloudCenter_5_60,163189,162718,156261,0.9575461581356587,0.9603178505143869,2705,4223,0,696,686
2020,A2_BodyCenterOutsideMACloudRate20_5_60,163189,162718,154195,0.9448859910900858,0.9476210376233729,3541,5453,0,696,679
2020,A2b_BodyToMACloudGapMean20_5_60,163189,162718,154195,0.9448859910900858,0.9476210376233729,3541,5453,0,696,679
2021,A1_LogBodyCenterToMACloudCenter_5_60,173626,173268,168311,0.9693882252658012,0.9713911397372856,2121,3194,0,731,725
2021,A2_BodyCenterOutsideMACloudRate20_5_60,173626,173268,166585,0.9594473177980256,0.9614296927303368,2882,4159,0,731,723
2021,A2b_BodyToMACloudGapMean20_5_60,173626,173268,166585,0.9594473177980256,0.9614296927303368,2882,4159,0,731,723
2022,A1_LogBodyCenterToMACloudCenter_5_60,180993,180738,176246,0.9737724663384771,0.9751463444322721,1848,2899,0,764,757
2022,A2_BodyCenterOutsideMACloudRate20_5_60,180993,180738,174820,0.9658937085964651,0.9672564706923834,2455,3718,0,764,755
2022,A2b_BodyToMACloudGapMean20_5_60,180993,180738,174820,0.9658937085964651,0.9672564706923834,2455,3718,0,764,755
2023,A1_LogBodyCenterToMACloudCenter_5_60,187217,187126,184510,0.985540842979003,0.9860201147889657,1269,1438,0,781,780
2023,A2_BodyCenterOutsideMACloudRate20_5_60,187217,187126,183546,0.9803917379297821,0.9808685057127283,1715,1956,0,781,779
2023,A2b_BodyToMACloudGapMean20_5_60,187217,187126,183546,0.9803917379297821,0.9808685057127283,1715,1956,0,781,779
2024,A1_LogBodyCenterToMACloudCenter_5_60,190212,190070,188289,0.9898902277458835,0.9906297679802178,548,1375,0,791,789
2024,A2_BodyCenterOutsideMACloudRate20_5_60,190212,190070,187774,0.9871827224360188,0.9879202399116115,712,1726,0,791,788
2024,A2b_BodyToMACloudGapMean20_5_60,190212,190070,187774,0.9871827224360188,0.9879202399116115,712,1726,0,791,788
2025,A1_LogBodyCenterToMACloudCenter_5_60,192963,192701,190550,0.9874950119971186,0.9888376292805954,493,1920,0,799,795
2025,A2_BodyCenterOutsideMACloudRate20_5_60,192963,192701,189849,0.9838621911972761,0.9851998692274561,621,2493,0,799,795
2025,A2b_BodyToMACloudGapMean20_5_60,192963,192701,189849,0.9838621911972761,0.9851998692274561,621,2493,0,799,795
2026,A1_LogBodyCenterToMACloudCenter_5_60,92782,92686,91531,0.9865167812722295,0.987538571089485,135,1116,0,800,800
2026,A2_BodyCenterOutsideMACloudRate20_5_60,92782,92686,91116,0.9820439309348796,0.9830610879744514,230,1436,0,800,800
2026,A2b_BodyToMACloudGapMean20_5_60,92782,92686,91116,0.9820439309348796,0.9830610879744514,230,1436,0,800,800
