a2_level,row_count,row_share,a2b_min,a2b_q05,a2b_q25,a2b_median,a2b_q75,a2b_q95,a2b_max,a2b_mean,a2b_stddev_pop,a2b_unique_value_count
0.00,9504,0.005929116365771082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.05,11914,0.0074326065216536895,0.0,0.0,0.0,0.0,0.00022306932601456886,0.000924688498863356,0.005295811279577433,0.00019049643621019282,0.0003851569776346218,3513
0.10,20460,0.012764069954090523,0.0,0.0,4.545454858506659e-05,0.0003358240051380301,0.0008524360183176094,0.002401365455350488,0.017040291320038925,0.0006496231900294466,0.0009478052810103143,10285
0.15,33817,0.02109689900476438,0.0,0.0,0.00031876260696015455,0.0008060899262885446,0.0016558922392223563,0.00421166414742129,0.02740661255522463,0.0013034793888045976,0.001633835524420755,19185
0.20,51488,0.03212103781995175,0.0,0.00011355291768584408,0.0006248107037516437,0.001305640314074319,0.0024657212085003265,0.0060378784533813516,0.03717059100422833,0.001968032729621169,0.002241901862900279,30892
0.25,71504,0.04460811622665145,0.0,0.0002685986200669177,0.0009275083372581649,0.0017713286669479578,0.003159450568023875,0.007478088033042207,0.044523261902053156,0.002534621819366038,0.0026182465378854526,45357
0.30,94101,0.058705363966269415,0.0,0.00044594215747404407,0.001243730903803586,0.0022480430734877375,0.0038739322670432673,0.00856572156611426,0.04897536918902037,0.003080851403568587,0.002948974714550662,61175
0.35,118163,0.07371655904130979,0.0,0.0006315064113475423,0.001569363849000127,0.002718933817569802,0.0045911117080363,0.009703774149543997,0.05728224116501894,0.0036319086759407384,0.0032554239610540726,78729
0.40,141062,0.08800221094154044,0.0,0.000808557443853175,0.0018881789523501169,0.0031858696131999765,0.005242725867228249,0.010613755930421999,0.06302473324896604,0.004128570518068752,0.003499242161277299,96049
0.45,159737,0.09965270001253948,0.0,0.0010077221084943866,0.002210555080783738,0.0036296058373444184,0.005848454689649385,0.01156544965974508,0.07032455180231026,0.0046302405268367165,0.003782986585355874,111489
0.50,170793,0.1065500390845055,3.137638585428704e-05,0.0011841499631531026,0.0025095590097949485,0.004063049907491933,0.006415274355213496,0.012503663428148827,0.07064034232571643,0.005105730608105599,0.004028128181156496,122341
0.55,169807,0.10593491821575021,3.137638585428704e-05,0.0013718638822342699,0.002824588564627517,0.004510508542714264,0.007039772053841731,0.013574491236870836,0.07445374161907803,0.005616707480978614,0.004317646600061667,124332
0.60,154456,0.09635812262116353,6.090193703851554e-05,0.0015649111691050876,0.0031735846629474818,0.004987871112115672,0.007673831463769643,0.014483421285336927,0.08041200191324475,0.006132884532790672,0.0045851620530801005,116014
0.65,130847,0.08162953378704216,8.28269538335924e-05,0.001771533274103163,0.0035076614654593555,0.005439421327322824,0.008333737305670918,0.015590220605902642,0.08398663640008708,0.006666190375295864,0.004897038097631148,100814
0.70,100980,0.06299686138631774,0.0002372298007514484,0.002017835416774953,0.003908126436872817,0.005980220545198622,0.009081554230383792,0.016630083784200396,0.09224582439650822,0.007276809453134699,0.005256042503622026,79674
0.75,71434,0.044564446388098845,0.00030397506371315774,0.002241375082324607,0.00432649930762552,0.006636483884959243,0.009951894497084312,0.01805291654573793,0.09931103316040354,0.007980524027059554,0.005686332459469441,57782
0.80,45933,0.028655524203384162,0.0003974800898853159,0.0025427711872816295,0.004777341035233129,0.007262762022985747,0.010811959008929329,0.019796220688041412,0.10767864274469327,0.00874067590543384,0.0062351804272543585,38431
0.85,26507,0.01653652015019929,0.0006057020007950609,0.002838453570859544,0.005225841875534664,0.007879766797299913,0.011715642034429407,0.02149228774417438,0.1105009072095422,0.009457499840392111,0.006731241475392826,22866
0.90,13218,0.008246113228405108,0.0006400508276803052,0.003191640225334459,0.0058148088514127115,0.008503025218419735,0.01276595255035931,0.02345989866054562,0.1105009072095422,0.010343604817757984,0.00735879134676936,11730
0.95,5532,0.0034511649553288742,0.0013769547834236006,0.0034976530468499197,0.006257658131498656,0.008946332432446559,0.013234691323449198,0.025017312407794083,0.1105009072095422,0.01113969064284248,0.00843168939991172,5067
1.00,1680,0.0010480761252625649,0.002295240277120458,0.004277614317096172,0.006940551355670911,0.009967680039410908,0.014568095810456292,0.02913141364915159,0.10805151872803138,0.012647111163028853,0.01068261539803577,1583
