registry_role,indicator_id,layer,raw_metric_name,raw_source_indicator_id,raw_value_direction
PCVT,P1_NATR14,P,NATR14,P1_NATR14,lower_is_more_convergent
PCVT,P2_LogRange20,P,LogRange20,P2_LogRange20,lower_is_more_convergent
PCVT,C1_LogMASpread_5_60,C,LogMASpread_5_60,C1_LogMASpread_5_60,lower_is_more_convergent
PCVT,C2_AdjVWAPSpread_5_60,C,AdjVWAPSpread_5_60,C2_AdjVWAPSpread_5_60,lower_is_more_convergent
PCVT,T1_ER20,T,ER20,T1_ER20,lower_is_more_convergent
PCVT,T2_AbsTrendT20,T,AbsTrendT20,T2_AbsTrendT20,lower_is_more_convergent
PCVT,V1_TurnoverShrink20_60,V,TurnoverShrink20_60,V1_TurnoverShrink20_60,lower_is_more_convergent
PCVT,V2_LogAmount20_base,V,LogAmount20,V2_LogAmount20_base,lower_is_more_convergent
A,A1_LogBodyCenterToMACloudCenter_5_60,A,LogBodyCenterToMACloudCenter_5_60,A1_LogBodyCenterToMACloudCenter_5_60,lower_raw_is_more_convergent
A,A2_BodyCenterOutsideMACloudRate20_5_60,A,BodyCenterOutsideMACloudRate20_5_60,A2_BodyCenterOutsideMACloudRate20_5_60,lower_raw_is_more_convergent
A,A2b_BodyToMACloudGapMean20_5_60,A,BodyToMACloudGapMean20_5_60,A2b_BodyToMACloudGapMean20_5_60,lower_raw_is_more_convergent
