a_candidate_id,pcvt_layer,indicator_pair_count,valid_pair_count,nearest_indicator_by_spearman,max_overall_spearman,nearest_indicator_by_tail_jaccard_005,max_tail_jaccard_005,nearest_indicator_by_tail_jaccard_010,max_tail_jaccard_010,hard_collision_count,hard_collision_indicator_ids_json
A1_LogBodyCenterToMACloudCenter_5_60,P,2,2,P2_LogRange20,0.5867342901185104,P2_LogRange20,0.08570098120738401,P2_LogRange20,0.14914522693028037,0,[]
A1_LogBodyCenterToMACloudCenter_5_60,C,2,2,C1_LogMASpread_5_60,0.6090569042290163,C1_LogMASpread_5_60,0.08769076974341886,C1_LogMASpread_5_60,0.1552422209009315,0,[]
A1_LogBodyCenterToMACloudCenter_5_60,T,2,2,T1_ER20,0.5551773311963346,T1_ER20,0.05433567834001951,T1_ER20,0.11314358984851895,0,[]
A1_LogBodyCenterToMACloudCenter_5_60,V,2,2,V2_LogAmount20_base,0.18050769866329913,V2_LogAmount20_base,0.03494020215855623,V2_LogAmount20_base,0.07014621992000525,0,[]
A2_BodyCenterOutsideMACloudRate20_5_60,P,2,2,P2_LogRange20,0.18936167504373683,P2_LogRange20,0.04575463371579876,P2_LogRange20,0.08147280072543449,0,[]
A2_BodyCenterOutsideMACloudRate20_5_60,C,2,2,C1_LogMASpread_5_60,0.3277660592798365,C1_LogMASpread_5_60,0.0364064444855459,C1_LogMASpread_5_60,0.07884716524666036,0,[]
A2_BodyCenterOutsideMACloudRate20_5_60,T,2,2,T1_ER20,0.3608307496405175,T2_AbsTrendT20,0.03532995430825697,T1_ER20,0.07129726342176729,0,[]
A2_BodyCenterOutsideMACloudRate20_5_60,V,2,2,V1_TurnoverShrink20_60,0.09067786711470681,V2_LogAmount20_base,0.03592485260317778,V2_LogAmount20_base,0.06350875737681606,0,[]
A2b_BodyToMACloudGapMean20_5_60,P,2,2,P2_LogRange20,0.7291707916321929,P2_LogRange20,0.10682205759498478,P2_LogRange20,0.20906183529695727,0,[]
A2b_BodyToMACloudGapMean20_5_60,C,2,2,C1_LogMASpread_5_60,0.6817060086538331,C1_LogMASpread_5_60,0.08527478181978213,C1_LogMASpread_5_60,0.17927401674440505,0,[]
A2b_BodyToMACloudGapMean20_5_60,T,2,2,T1_ER20,0.3289753070689089,T2_AbsTrendT20,0.031254020947528244,T1_ER20,0.07173828014000648,0,[]
A2b_BodyToMACloudGapMean20_5_60,V,2,2,V1_TurnoverShrink20_60,0.2918895569400068,V2_LogAmount20_base,0.037259926489620544,V2_LogAmount20_base,0.07675255931429185,0,[]
