pair_id,a_candidate_id,pcvt_indicator_id,pcvt_layer,a_valid_count,pcvt_valid_count,common_count,common_rate_of_a,common_rate_of_pcvt,common_rate_of_smaller_side,join_key_policy,one_to_one_key_proven
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,1632073,1683569,1632073,1.0,0.9694125990678136,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A1__C2_AdjVWAPSpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C2_AdjVWAPSpread_5_60,C,1632073,1659385,1615367,0.9897639382552128,0.9734733048689725,0.9897639382552128,security_id+trading_date_after_strict_uniqueness_proof,True
A1__P1_NATR14,A1_LogBodyCenterToMACloudCenter_5_60,P1_NATR14,P,1632073,1719569,1632073,1.0,0.9491174823458669,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A1__P2_LogRange20,A1_LogBodyCenterToMACloudCenter_5_60,P2_LogRange20,P,1632073,1715569,1632073,1.0,0.9513304332265272,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A1__T1_ER20,A1_LogBodyCenterToMACloudCenter_5_60,T1_ER20,T,1632073,1714769,1632073,1.0,0.9517742623058849,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A1__T2_AbsTrendT20,A1_LogBodyCenterToMACloudCenter_5_60,T2_AbsTrendT20,T,1632073,1715569,1632073,1.0,0.9513304332265272,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A1__V1_TurnoverShrink20_60,A1_LogBodyCenterToMACloudCenter_5_60,V1_TurnoverShrink20_60,V,1632073,1662805,1613554,0.9886530810815447,0.9703807722493016,0.9886530810815447,security_id+trading_date_after_strict_uniqueness_proof,True
A1__V2_LogAmount20_base,A1_LogBodyCenterToMACloudCenter_5_60,V2_LogAmount20_base,V,1632073,1715569,1632073,1.0,0.9513304332265272,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A2__C1_LogMASpread_5_60,A2_BodyCenterOutsideMACloudRate20_5_60,C1_LogMASpread_5_60,C,1602937,1683569,1602937,1.0,0.9521065070692083,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A2__C2_AdjVWAPSpread_5_60,A2_BodyCenterOutsideMACloudRate20_5_60,C2_AdjVWAPSpread_5_60,C,1602937,1659385,1587892,0.9906141039853719,0.9569159658548198,0.9906141039853719,security_id+trading_date_after_strict_uniqueness_proof,True
A2__P1_NATR14,A2_BodyCenterOutsideMACloudRate20_5_60,P1_NATR14,P,1602937,1719569,1602937,1.0,0.9321737016659407,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A2__P2_LogRange20,A2_BodyCenterOutsideMACloudRate20_5_60,P2_LogRange20,P,1602937,1715569,1602937,1.0,0.9343471466318172,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A2__T1_ER20,A2_BodyCenterOutsideMACloudRate20_5_60,T1_ER20,T,1602937,1714769,1602937,1.0,0.9347830524111411,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A2__T2_AbsTrendT20,A2_BodyCenterOutsideMACloudRate20_5_60,T2_AbsTrendT20,T,1602937,1715569,1602937,1.0,0.9343471466318172,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A2__V1_TurnoverShrink20_60,A2_BodyCenterOutsideMACloudRate20_5_60,V1_TurnoverShrink20_60,V,1602937,1662805,1597933,0.9968782303983251,0.9609864055015471,0.9968782303983251,security_id+trading_date_after_strict_uniqueness_proof,True
A2__V2_LogAmount20_base,A2_BodyCenterOutsideMACloudRate20_5_60,V2_LogAmount20_base,V,1602937,1715569,1602937,1.0,0.9343471466318172,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A2b__C1_LogMASpread_5_60,A2b_BodyToMACloudGapMean20_5_60,C1_LogMASpread_5_60,C,1602937,1683569,1602937,1.0,0.9521065070692083,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A2b__C2_AdjVWAPSpread_5_60,A2b_BodyToMACloudGapMean20_5_60,C2_AdjVWAPSpread_5_60,C,1602937,1659385,1587892,0.9906141039853719,0.9569159658548198,0.9906141039853719,security_id+trading_date_after_strict_uniqueness_proof,True
A2b__P1_NATR14,A2b_BodyToMACloudGapMean20_5_60,P1_NATR14,P,1602937,1719569,1602937,1.0,0.9321737016659407,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A2b__P2_LogRange20,A2b_BodyToMACloudGapMean20_5_60,P2_LogRange20,P,1602937,1715569,1602937,1.0,0.9343471466318172,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A2b__T1_ER20,A2b_BodyToMACloudGapMean20_5_60,T1_ER20,T,1602937,1714769,1602937,1.0,0.9347830524111411,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A2b__T2_AbsTrendT20,A2b_BodyToMACloudGapMean20_5_60,T2_AbsTrendT20,T,1602937,1715569,1602937,1.0,0.9343471466318172,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
A2b__V1_TurnoverShrink20_60,A2b_BodyToMACloudGapMean20_5_60,V1_TurnoverShrink20_60,V,1602937,1662805,1597933,0.9968782303983251,0.9609864055015471,0.9968782303983251,security_id+trading_date_after_strict_uniqueness_proof,True
A2b__V2_LogAmount20_base,A2b_BodyToMACloudGapMean20_5_60,V2_LogAmount20_base,V,1602937,1715569,1602937,1.0,0.9343471466318172,1.0,security_id+trading_date_after_strict_uniqueness_proof,True
