pair_id,a_candidate_id,pcvt_indicator_id,pcvt_layer,common_count,pearson_raw,spearman_midrank,a_tied_row_count,pcvt_tied_row_count
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,1632073,0.6289052342080692,0.6090569042290163,0,0
A1__C2_AdjVWAPSpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C2_AdjVWAPSpread_5_60,C,1615367,0.5755327811307956,0.5697047348935695,0,0
A1__P1_NATR14,A1_LogBodyCenterToMACloudCenter_5_60,P1_NATR14,P,1632073,0.4414869124429045,0.44315874507755165,0,0
A1__P2_LogRange20,A1_LogBodyCenterToMACloudCenter_5_60,P2_LogRange20,P,1632073,0.6556264899275267,0.5867342901185104,0,1438276
A1__T1_ER20,A1_LogBodyCenterToMACloudCenter_5_60,T1_ER20,T,1632073,0.5587955480085773,0.5551773311963346,0,15912
A1__T2_AbsTrendT20,A1_LogBodyCenterToMACloudCenter_5_60,T2_AbsTrendT20,T,1632073,0.4117374455211545,0.4164280341356576,0,0
A1__V1_TurnoverShrink20_60,A1_LogBodyCenterToMACloudCenter_5_60,V1_TurnoverShrink20_60,V,1613554,0.26228472539195336,0.17752492763727284,0,0
A1__V2_LogAmount20_base,A1_LogBodyCenterToMACloudCenter_5_60,V2_LogAmount20_base,V,1632073,0.21156708452631381,0.18050769866329913,0,142
A2__C1_LogMASpread_5_60,A2_BodyCenterOutsideMACloudRate20_5_60,C1_LogMASpread_5_60,C,1602937,0.3003918994508392,0.3277660592798365,1602937,0
A2__C2_AdjVWAPSpread_5_60,A2_BodyCenterOutsideMACloudRate20_5_60,C2_AdjVWAPSpread_5_60,C,1587892,0.3105543905796589,0.3231096963724655,1587892,0
A2__P1_NATR14,A2_BodyCenterOutsideMACloudRate20_5_60,P1_NATR14,P,1602937,0.01711598072112657,0.023041229898285037,1602937,0
A2__P2_LogRange20,A2_BodyCenterOutsideMACloudRate20_5_60,P2_LogRange20,P,1602937,0.1963734268463926,0.18936167504373683,1602937,1411177
A2__T1_ER20,A2_BodyCenterOutsideMACloudRate20_5_60,T1_ER20,T,1602937,0.3712565167897687,0.3608307496405175,1602937,15643
A2__T2_AbsTrendT20,A2_BodyCenterOutsideMACloudRate20_5_60,T2_AbsTrendT20,T,1602937,0.36437507307553135,0.33619659136712243,1602937,0
A2__V1_TurnoverShrink20_60,A2_BodyCenterOutsideMACloudRate20_5_60,V1_TurnoverShrink20_60,V,1597933,0.1100776636697525,0.09067786711470681,1597933,0
A2__V2_LogAmount20_base,A2_BodyCenterOutsideMACloudRate20_5_60,V2_LogAmount20_base,V,1602937,0.012625030777174704,0.009642389679780138,1602937,138
A2b__C1_LogMASpread_5_60,A2b_BodyToMACloudGapMean20_5_60,C1_LogMASpread_5_60,C,1602937,0.6927217917819349,0.6817060086538331,920772,0
A2b__C2_AdjVWAPSpread_5_60,A2b_BodyToMACloudGapMean20_5_60,C2_AdjVWAPSpread_5_60,C,1587892,0.6065937123503273,0.6308402795692595,912147,0
A2b__P1_NATR14,A2b_BodyToMACloudGapMean20_5_60,P1_NATR14,P,1602937,0.5316801324504691,0.5570512853503201,920772,0
A2b__P2_LogRange20,A2b_BodyToMACloudGapMean20_5_60,P2_LogRange20,P,1602937,0.7689270468057511,0.7291707916321929,920772,1411177
A2b__T1_ER20,A2b_BodyToMACloudGapMean20_5_60,T1_ER20,T,1602937,0.35266583218851977,0.3289753070689089,920772,15643
A2b__T2_AbsTrendT20,A2b_BodyToMACloudGapMean20_5_60,T2_AbsTrendT20,T,1602937,0.2573616553888849,0.25571365195582496,920772,0
A2b__V1_TurnoverShrink20_60,A2b_BodyToMACloudGapMean20_5_60,V1_TurnoverShrink20_60,V,1597933,0.4380690208092332,0.2918895569400068,917844,0
A2b__V2_LogAmount20_base,A2b_BodyToMACloudGapMean20_5_60,V2_LogAmount20_base,V,1602937,0.2797845554798903,0.2550070368360683,920772,138
