security_id,candidate_variant,baseline_variant,W,q,valid_row_count,baseline_true_count,candidate_true_count,jaccard,baseline_retention,candidate_precision
000001.SZ,c1_only,baseline_pair,120,0.2,2367,578,587,0.8912337662337663,0.9498269896193772,0.9352640545144804
000002.SZ,c1_only,baseline_pair,120,0.2,2241,497,511,0.8736059479553904,0.9456740442655935,0.9197651663405088
000009.SZ,c1_only,baseline_pair,120,0.2,2367,564,600,0.8273155416012559,0.9343971631205674,0.8783333333333333
000021.SZ,c1_only,baseline_pair,120,0.2,2305,514,534,0.7732656514382402,0.8891050583657587,0.8558052434456929
000027.SZ,c1_only,baseline_pair,120,0.2,2367,554,622,0.7370753323485968,0.9007220216606499,0.8022508038585209
000032.SZ,c1_only,baseline_pair,120,0.2,2218,498,537,0.7937608318890814,0.9196787148594378,0.8528864059590316
000034.SZ,c1_only,baseline_pair,120,0.2,2056,473,492,0.8037383177570093,0.9090909090909091,0.8739837398373984
000039.SZ,c1_only,baseline_pair,120,0.2,2362,537,580,0.7987117552334944,0.9236499068901304,0.8551724137931035
000050.SZ,c1_only,baseline_pair,120,0.2,2237,504,538,0.8345070422535211,0.9404761904761905,0.8810408921933085
000060.SZ,c1_only,baseline_pair,120,0.2,2366,523,533,0.76,0.8718929254302104,0.8555347091932458
000062.SZ,c1_only,baseline_pair,120,0.2,2214,520,597,0.7425897035881436,0.9153846153846154,0.7973199329983249
000063.SZ,c1_only,baseline_pair,120,0.2,2176,487,542,0.824468085106383,0.9548254620123203,0.8579335793357934
000088.SZ,c1_only,baseline_pair,120,0.2,2291,561,612,0.7963246554364471,0.9269162210338681,0.8496732026143791
000100.SZ,c1_only,baseline_pair,120,0.2,2201,541,571,0.8380165289256198,0.9371534195933456,0.8879159369527145
000155.SZ,c1_only,baseline_pair,120,0.2,1843,411,437,0.7815126050420168,0.9051094890510949,0.851258581235698
000157.SZ,c1_only,baseline_pair,120,0.2,2367,506,534,0.7747440273037542,0.8972332015810277,0.850187265917603
000166.SZ,c1_only,baseline_pair,120,0.2,2342,538,566,0.7980456026058632,0.9107806691449815,0.8657243816254417
000301.SZ,c1_only,baseline_pair,120,0.2,2134,495,552,0.7866894197952219,0.9313131313131313,0.8351449275362319
000333.SZ,c1_only,baseline_pair,120,0.2,2317,614,624,0.8871951219512195,0.9478827361563518,0.9326923076923077
000338.SZ,c1_only,baseline_pair,120,0.2,2365,553,576,0.8508196721311475,0.9385171790235082,0.9010416666666666
000400.SZ,c1_only,baseline_pair,120,0.2,2307,509,550,0.7738693467336684,0.9076620825147348,0.84
000408.SZ,c1_only,baseline_pair,120,0.2,2027,480,565,0.8017241379310345,0.96875,0.8230088495575221
000415.SZ,c1_only,baseline_pair,120,0.2,1950,424,482,0.7592233009708738,0.9221698113207547,0.8112033195020747
000423.SZ,c1_only,baseline_pair,120,0.2,2367,558,575,0.8573770491803279,0.9372759856630825,0.9095652173913044
000425.SZ,c1_only,baseline_pair,120,0.2,2334,520,521,0.8790613718411552,0.9365384615384615,0.9347408829174664
000429.SZ,c1_only,baseline_pair,120,0.2,2362,561,593,0.8553054662379421,0.948306595365419,0.897133220910624
000513.SZ,c1_only,baseline_pair,120,0.2,2363,594,619,0.8777089783281734,0.9545454545454546,0.9159935379644588
000519.SZ,c1_only,baseline_pair,120,0.2,2360,532,562,0.7560192616372392,0.8853383458646616,0.8380782918149466
000528.SZ,c1_only,baseline_pair,120,0.2,2346,486,558,0.745819397993311,0.9176954732510288,0.7992831541218638
000537.SZ,c1_only,baseline_pair,120,0.2,2107,525,562,0.8207705192629816,0.9333333333333333,0.8718861209964412
000538.SZ,c1_only,baseline_pair,120,0.2,2143,559,596,0.8450479233226837,0.9463327370304114,0.8875838926174496
000539.SZ,c1_only,baseline_pair,120,0.2,2307,510,564,0.775206611570248,0.9196078431372549,0.8315602836879432
000559.SZ,c1_only,baseline_pair,120,0.2,2232,472,530,0.7517482517482518,0.9110169491525424,0.8113207547169812
000568.SZ,c1_only,baseline_pair,120,0.2,2349,558,579,0.891846921797005,0.9605734767025089,0.92573402417962
000582.SZ,c1_only,baseline_pair,120,0.2,2223,490,532,0.7560137457044673,0.8979591836734694,0.8270676691729323
000591.SZ,c1_only,baseline_pair,120,0.2,2367,523,584,0.7712,0.9216061185468452,0.8253424657534246
000596.SZ,c1_only,baseline_pair,120,0.2,2367,575,584,0.9,0.9547826086956521,0.940068493150685
000598.SZ,c1_only,baseline_pair,120,0.2,2367,589,594,0.8748019017432647,0.9371816638370118,0.9292929292929293
000617.SZ,c1_only,baseline_pair,120,0.2,2008,457,513,0.773308957952468,0.925601750547046,0.8245614035087719
000623.SZ,c1_only,baseline_pair,120,0.2,2366,540,567,0.8419301164725458,0.937037037037037,0.892416225749559
000625.SZ,c1_only,baseline_pair,120,0.2,2287,534,542,0.8519793459552496,0.9269662921348315,0.9132841328413284
000629.SZ,c1_only,baseline_pair,120,0.2,1957,429,471,0.7543859649122807,0.9020979020979021,0.821656050955414
000630.SZ,c1_only,baseline_pair,120,0.2,2357,474,521,0.7704626334519573,0.9135021097046413,0.8310940499040307
000651.SZ,c1_only,baseline_pair,120,0.2,2178,558,561,0.8838383838383839,0.9408602150537635,0.9358288770053476
000657.SZ,c1_only,baseline_pair,120,0.2,2199,476,584,0.7207792207792207,0.9327731092436975,0.7602739726027398
000661.SZ,c1_only,baseline_pair,120,0.2,2291,515,542,0.8774422735346359,0.9592233009708738,0.9114391143911439
000683.SZ,c1_only,baseline_pair,120,0.2,2247,552,575,0.8236245954692557,0.9221014492753623,0.8852173913043478
000703.SZ,c1_only,baseline_pair,120,0.2,2304,582,633,0.832579185520362,0.9484536082474226,0.8720379146919431
000708.SZ,c1_only,baseline_pair,120,0.2,2361,555,588,0.8288,0.9333333333333333,0.8809523809523809
000709.SZ,c1_only,baseline_pair,120,0.2,2307,571,564,0.8276972624798712,0.9001751313485113,0.9113475177304965
000723.SZ,c1_only,baseline_pair,120,0.2,2219,514,566,0.7910447761194029,0.9280155642023347,0.842756183745583
000725.SZ,c1_only,baseline_pair,120,0.2,2367,574,603,0.8593996840442338,0.9477351916376306,0.9021558872305141
000728.SZ,c1_only,baseline_pair,120,0.2,2341,512,552,0.8313253012048193,0.943359375,0.875
000729.SZ,c1_only,baseline_pair,120,0.2,2367,547,573,0.8855218855218855,0.9616087751371115,0.9179755671902269
000733.SZ,c1_only,baseline_pair,120,0.2,2286,515,542,0.8446771378708552,0.9398058252427185,0.8929889298892989
000737.SZ,c1_only,baseline_pair,120,0.2,2089,482,626,0.6838905775075987,0.9336099585062241,0.7188498402555911
000738.SZ,c1_only,baseline_pair,120,0.2,2367,518,583,0.7758064516129032,0.9285714285714286,0.8250428816466552
000739.SZ,c1_only,baseline_pair,120,0.2,2367,521,564,0.8083333333333333,0.9309021113243762,0.8599290780141844
000750.SZ,c1_only,baseline_pair,120,0.2,2269,533,566,0.8045977011494253,0.9193245778611632,0.8657243816254417
000768.SZ,c1_only,baseline_pair,120,0.2,2367,514,551,0.8393782383419689,0.9455252918287937,0.8820326678765881
000776.SZ,c1_only,baseline_pair,120,0.2,2367,486,523,0.7858407079646018,0.9135802469135802,0.8489483747609943
000783.SZ,c1_only,baseline_pair,120,0.2,2367,477,544,0.7603448275862069,0.9245283018867925,0.8106617647058824
000785.SZ,c1_only,baseline_pair,120,0.2,2232,472,547,0.7783595113438045,0.9449152542372882,0.8153564899451554
000786.SZ,c1_only,baseline_pair,120,0.2,2240,583,622,0.8769470404984424,0.9656946826758147,0.905144694533762
000792.SZ,c1_only,baseline_pair,120,0.2,2048,474,507,0.8579545454545454,0.9556962025316456,0.893491124260355
000800.SZ,c1_only,baseline_pair,120,0.2,2175,485,528,0.7960992907801419,0.9257731958762887,0.8503787878787878
000807.SZ,c1_only,baseline_pair,120,0.2,2280,494,510,0.822141560798548,0.917004048582996,0.888235294117647
000825.SZ,c1_only,baseline_pair,120,0.2,2259,524,569,0.7432216905901117,0.8893129770992366,0.8189806678383128
000830.SZ,c1_only,baseline_pair,120,0.2,2297,521,543,0.8472222222222222,0.9366602687140115,0.8987108655616943
000831.SZ,c1_only,baseline_pair,120,0.2,2365,549,599,0.7881619937694704,0.9216757741347905,0.8447412353923205
000858.SZ,c1_only,baseline_pair,120,0.2,2367,613,636,0.9185867895545314,0.9755301794453507,0.940251572327044
000878.SZ,c1_only,baseline_pair,120,0.2,2339,516,530,0.8546099290780141,0.9341085271317829,0.909433962264151
000883.SZ,c1_only,baseline_pair,120,0.2,2367,522,561,0.8324873096446701,0.9425287356321839,0.8770053475935828
000887.SZ,c1_only,baseline_pair,120,0.2,2187,481,511,0.8576779026217228,0.9521829521829522,0.8962818003913894
000893.SZ,c1_only,baseline_pair,120,0.2,2043,478,508,0.8293135435992579,0.9351464435146444,0.8799212598425197
000895.SZ,c1_only,baseline_pair,120,0.2,2352,545,591,0.8205128205128205,0.9394495412844037,0.8663282571912013
000898.SZ,c1_only,baseline_pair,120,0.2,2366,612,636,0.8516320474777448,0.9379084967320261,0.9025157232704403
000921.SZ,c1_only,baseline_pair,120,0.2,2307,578,591,0.8794212218649518,0.9463667820069204,0.9255499153976311
000932.SZ,c1_only,baseline_pair,120,0.2,2183,468,518,0.8429906542056075,0.9636752136752137,0.8706563706563707
000937.SZ,c1_only,baseline_pair,120,0.2,2305,553,607,0.8412698412698413,0.9584086799276673,0.8731466227347611
000938.SZ,c1_only,baseline_pair,120,0.2,2332,517,561,0.8056951423785594,0.9303675048355899,0.857397504456328
000951.SZ,c1_only,baseline_pair,120,0.2,2367,566,601,0.829153605015674,0.9346289752650176,0.8801996672212978
000959.SZ,c1_only,baseline_pair,120,0.2,2265,533,564,0.8132231404958677,0.9230769230769231,0.8723404255319149
