calendar_year,candidate_variant,baseline_variant,W,q,common_valid_rows,baseline_true_count,candidate_true_count,active_rate,baseline_active_rate,candidate_active_rate,jaccard,baseline_retention,candidate_precision,symmetric_difference_rate
2016,c1_only,baseline_pair,120,0.2,27827,9127,9428,0.3388076328745463,0.3279908003018651,0.3388076328745463,0.8462686567164179,0.9318505533033855,0.9021001272804412,0.055521615696984945
2017,c1_only,baseline_pair,120,0.2,120518,24371,26469,0.2196269436930583,0.20221875570454206,0.2196269436930583,0.797800487994625,0.9257314020762382,0.8523555857795913,0.04744519490864435
2018,c1_only,baseline_pair,120,0.2,134378,30849,32752,0.2437303725312179,0.2295688282308116,0.2437303725312179,0.8278250373606162,0.933741774449739,0.8794882755251587,0.04458319070085877
2019,c1_only,baseline_pair,120,0.2,144350,37412,40640,0.2815379286456529,0.25917561482507795,0.2815379286456529,0.8116238046606629,0.9346733668341709,0.8604330708661417,0.056224454450987185
2020,c1_only,baseline_pair,120,0.2,151961,31341,34469,0.22682793611518745,0.20624370726699615,0.22682793611518745,0.7933346050085838,0.9289110111355732,0.8446140009863936,0.04990754206671449
2021,c1_only,baseline_pair,120,0.2,162826,37436,40698,0.24994779703487158,0.22991414147617703,0.24994779703487158,0.8123071927260919,0.9354899027673896,0.8605091159270726,0.04969722280225517
2022,c1_only,baseline_pair,120,0.2,172988,42330,44879,0.25943418040557725,0.24469905426966032,0.25943418040557725,0.835360720599377,0.9377037562012757,0.884444840571314,0.045222790020117004
2023,c1_only,baseline_pair,120,0.2,181754,47721,50575,0.2782607260362908,0.2625581830386126,0.2782607260362908,0.83401746398985,0.9366945369962909,0.8838358872960949,0.048945277683022106
2024,c1_only,baseline_pair,120,0.2,186108,37208,38913,0.20908827132632665,0.1999269241515679,0.20908827132632665,0.8304917638571601,0.9281874865620297,0.8875183100763241,0.03787585702925183
2025,c1_only,baseline_pair,120,0.2,189646,48383,53221,0.28063339063307424,0.2551227022979657,0.28063339063307424,0.8135151536786492,0.9420250914577434,0.8563912741211176,0.055092119000664394
2026,c1_only,baseline_pair,120,0.2,91202,15196,15848,0.17376811912019474,0.16661915308874806,0.17376811912019474,0.8171388433622102,0.9186628060015793,0.8808682483594145,0.034253634788710775
2016,c2_only,baseline_pair,120,0.2,27827,9127,9503,0.34150285693750676,0.3279908003018651,0.34150285693750676,0.8506009734776994,0.9382053248603046,0.9010838682521309,0.05404822654256657
2017,c2_only,baseline_pair,120,0.2,120518,24371,25667,0.21297233608257687,0.20221875570454206,0.21297233608257687,0.8060999819527161,0.9163760206803168,0.870105583044376,0.04457425446821222
2018,c2_only,baseline_pair,120,0.2,134378,30849,32214,0.23972674098438732,0.2295688282308116,0.23972674098438732,0.8286551064199965,0.9263509352004927,0.8870987769292854,0.04397297176621173
2019,c2_only,baseline_pair,120,0.2,144350,37412,38975,0.27000346380325596,0.25917561482507795,0.27000346380325596,0.8267846466578979,0.9240885277451085,0.8870301475304683,0.05017665396605473
2020,c2_only,baseline_pair,120,0.2,151961,31341,33302,0.2191483341120419,0.20624370726699615,0.2191483341120419,0.7969866288605343,0.914776171787754,0.8609092546994175,0.048058383401004205
2021,c2_only,baseline_pair,120,0.2,162826,37436,38740,0.23792269047940748,0.22991414147617703,0.23792269047940748,0.8257555784579249,0.9203173415963244,0.8893391843056273,0.04464888899807156
2022,c2_only,baseline_pair,120,0.2,172988,42330,44076,0.2547922399241566,0.24469905426966032,0.2547922399241566,0.8401090359264859,0.9319395227970706,0.8950222343225338,0.04340185446389345
2023,c2_only,baseline_pair,120,0.2,181754,47721,49574,0.2727532819085137,0.2625581830386126,0.2727532819085137,0.8436860456302585,0.9329854780914063,0.898111913503046,0.0453855210889444
2024,c2_only,baseline_pair,120,0.2,186108,37208,39972,0.21477851570056097,0.1999269241515679,0.21477851570056097,0.801965865844832,0.923161685658998,0.859326528569999,0.04557568723536871
2025,c2_only,baseline_pair,120,0.2,189646,48383,49047,0.2586239625407338,0.2551227022979657,0.2586239625407338,0.844391859914813,0.921914722113139,0.9094338083878729,0.04334391445113527
2026,c2_only,baseline_pair,120,0.2,91202,15196,16523,0.18116927260367097,0.16661915308874806,0.18116927260367097,0.8005790190735694,0.9280731771518821,0.8535374931913091,0.038518892129558564
