candidate_cell_id,route_id,d,g,status,security_count,component_count,event_count,error
r2_s_pct_w120_q20_shared__d1__g0,r2_s_pct_w120_q20_shared,1,0,completed,800,5525,5525,
r2_s_pct_w120_q20_shared__d1__g1,r2_s_pct_w120_q20_shared,1,1,completed,800,5525,5268,
r2_s_pct_w120_q20_shared__d1__g2,r2_s_pct_w120_q20_shared,1,2,completed,800,5525,5131,
r2_s_pct_w120_q20_shared__d2__g0,r2_s_pct_w120_q20_shared,2,0,completed,800,5525,3013,
r2_s_pct_w120_q20_shared__d2__g1,r2_s_pct_w120_q20_shared,2,1,completed,800,5525,2916,
r2_s_pct_w120_q20_shared__d2__g2,r2_s_pct_w120_q20_shared,2,2,completed,800,5525,2868,
r2_s_pct_w120_q20_shared__d3__g0,r2_s_pct_w120_q20_shared,3,0,completed,800,5525,1682,
r2_s_pct_w120_q20_shared__d3__g1,r2_s_pct_w120_q20_shared,3,1,completed,800,5525,1641,
r2_s_pct_w120_q20_shared__d3__g2,r2_s_pct_w120_q20_shared,3,2,completed,800,5525,1628,
r2_s_pct_w120_qt25_primary__d1__g0,r2_s_pct_w120_qt25_primary,1,0,completed,800,7671,7671,
r2_s_pct_w120_qt25_primary__d1__g1,r2_s_pct_w120_qt25_primary,1,1,completed,800,7671,7236,
r2_s_pct_w120_qt25_primary__d1__g2,r2_s_pct_w120_qt25_primary,1,2,completed,800,7671,6997,
r2_s_pct_w120_qt25_primary__d2__g0,r2_s_pct_w120_qt25_primary,2,0,completed,800,7671,4733,
r2_s_pct_w120_qt25_primary__d2__g1,r2_s_pct_w120_qt25_primary,2,1,completed,800,7671,4561,
r2_s_pct_w120_qt25_primary__d2__g2,r2_s_pct_w120_qt25_primary,2,2,completed,800,7671,4472,
r2_s_pct_w120_qt25_primary__d3__g0,r2_s_pct_w120_qt25_primary,3,0,completed,800,7671,2961,
r2_s_pct_w120_qt25_primary__d3__g1,r2_s_pct_w120_qt25_primary,3,1,completed,800,7671,2874,
r2_s_pct_w120_qt25_primary__d3__g2,r2_s_pct_w120_qt25_primary,3,2,completed,800,7671,2831,
r2_s_pct_w250_q20_shared__d1__g0,r2_s_pct_w250_q20_shared,1,0,completed,800,4883,4883,
r2_s_pct_w250_q20_shared__d1__g1,r2_s_pct_w250_q20_shared,1,1,completed,800,4883,4689,
r2_s_pct_w250_q20_shared__d1__g2,r2_s_pct_w250_q20_shared,1,2,completed,800,4883,4556,
r2_s_pct_w250_q20_shared__d2__g0,r2_s_pct_w250_q20_shared,2,0,completed,800,4883,2634,
r2_s_pct_w250_q20_shared__d2__g1,r2_s_pct_w250_q20_shared,2,1,completed,800,4883,2572,
r2_s_pct_w250_q20_shared__d2__g2,r2_s_pct_w250_q20_shared,2,2,completed,800,4883,2525,
r2_s_pct_w250_q20_shared__d3__g0,r2_s_pct_w250_q20_shared,3,0,completed,800,4883,1442,
