candidate_cell_id,d,qualified_component_count,unqualified_component_count,retained_confirmed_day_ratio,retrospective_qualified_confirmed_coverage,asof_qualified_confirmed_coverage
r2_s_pct_w120_q20_shared__d1__g0,1,5525,0,1.0,0.007784208464047639,0.007784208464047639
r2_s_pct_w120_q20_shared__d1__g1,1,5525,0,1.0,0.007784208464047639,0.007784208464047639
r2_s_pct_w120_q20_shared__d1__g2,1,5525,0,1.0,0.007784208464047639,0.007784208464047639
r2_s_pct_w120_q20_shared__d2__g0,2,3013,2511,0.7986534145559474,0.006216884669426954,0.004336969624366394
r2_s_pct_w120_q20_shared__d2__g1,2,3013,2511,0.7986534145559474,0.006216884669426954,0.004336969624366394
r2_s_pct_w120_q20_shared__d2__g2,2,3013,2511,0.7986534145559474,0.006216884669426954,0.004336969624366394
r2_s_pct_w120_q20_shared__d3__g0,3,1682,3841,0.5852837447899968,0.004555970680063791,0.0024570545793058353
r2_s_pct_w120_q20_shared__d3__g1,3,1682,3841,0.5852837447899968,0.004555970680063791,0.0024570545793058353
r2_s_pct_w120_q20_shared__d3__g2,3,1682,3841,0.5852837447899968,0.004555970680063791,0.0024570545793058353
r2_s_pct_w120_qt25_primary__d1__g0,1,7671,0,1.0,0.012774437647716524,0.012774437647716524
r2_s_pct_w120_qt25_primary__d1__g1,1,7671,0,1.0,0.012774437647716524,0.012774437647716524
r2_s_pct_w120_qt25_primary__d1__g2,1,7671,0,1.0,0.012774437647716524,0.012774437647716524
r2_s_pct_w120_qt25_primary__d2__g0,2,4733,2935,0.8565009280062519,0.010941317700027204,0.007988235088586239
r2_s_pct_w120_qt25_primary__d2__g1,2,4733,2935,0.8565009280062519,0.010941317700027204,0.007988235088586239
r2_s_pct_w120_qt25_primary__d2__g2,2,4733,2935,0.8565009280062519,0.010941317700027204,0.007988235088586239
r2_s_pct_w120_qt25_primary__d3__g0,3,2961,4707,0.6834033408225066,0.008730093365578276,0.005035152477145274
r2_s_pct_w120_qt25_primary__d3__g1,3,2961,4707,0.6834033408225066,0.008730093365578276,0.005035152477145274
r2_s_pct_w120_qt25_primary__d3__g2,3,2961,4707,0.6834033408225066,0.008730093365578276,0.005035152477145274
r2_s_pct_w250_q20_shared__d1__g0,1,4883,0,1.0,0.007217669290689253,0.007217669290689253
r2_s_pct_w250_q20_shared__d1__g1,1,4883,0,1.0,0.007217669290689253,0.007217669290689253
r2_s_pct_w250_q20_shared__d1__g2,1,4883,0,1.0,0.007217669290689253,0.007217669290689253
r2_s_pct_w250_q20_shared__d2__g0,2,2634,2248,0.7927761909149544,0.005721996367556467,0.003970283393109264
r2_s_pct_w250_q20_shared__d2__g1,2,2634,2248,0.7927761909149544,0.005721996367556467,0.003970283393109264
r2_s_pct_w250_q20_shared__d2__g2,2,2634,2248,0.7927761909149544,0.005721996367556467,0.003970283393109264
r2_s_pct_w250_q20_shared__d3__g0,3,1442,3440,0.5731134248594859,0.004136543166690054,0.002218570418662061
r2_s_pct_w250_q20_shared__d3__g1,3,1442,3440,0.5731134248594859,0.004136543166690054,0.002218570418662061
r2_s_pct_w250_q20_shared__d3__g2,3,1442,3440,0.5731134248594859,0.004136543166690054,0.002218570418662061
r2_s_pct_w250_qt25_primary__d1__g0,1,6957,0,1.0,0.012187506442566226,0.012187506442566226
r2_s_pct_w250_qt25_primary__d1__g1,1,6957,0,1.0,0.012187506442566226,0.012187506442566226
r2_s_pct_w250_qt25_primary__d1__g2,1,6957,0,1.0,0.012187506442566226,0.012187506442566226
r2_s_pct_w250_qt25_primary__d2__g0,2,4324,2632,0.8563243479209866,0.010436458507213347,0.007560829463360004
r2_s_pct_w250_qt25_primary__d2__g1,2,4324,2632,0.8563243479209866,0.010436458507213347,0.007560829463360004
r2_s_pct_w250_qt25_primary__d2__g2,2,4324,2632,0.8563243479209866,0.010436458507213347,0.007560829463360004
r2_s_pct_w250_qt25_primary__d3__g0,3,2642,4314,0.6727600130961475,0.008199266993910237,0.004685200419506661
r2_s_pct_w250_qt25_primary__d3__g1,3,2642,4314,0.6727600130961475,0.008199266993910237,0.004685200419506661
r2_s_pct_w250_qt25_primary__d3__g2,3,2642,4314,0.6727600130961475,0.008199266993910237,0.004685200419506661
r2_s_pcvt_w120_q20_shared__d1__g0,1,1425,0,1.0,0.0018349345567062832,0.0018349345567062832
r2_s_pcvt_w120_q20_shared__d1__g1,1,1425,0,1.0,0.0018349345567062832,0.0018349345567062832
r2_s_pcvt_w120_q20_shared__d1__g2,1,1425,0,1.0,0.0018349345567062832,0.0018349345567062832
r2_s_pcvt_w120_q20_shared__d2__g0,2,716,709,0.7587614834977884,0.001392277666367816,0.0009452503977044276
r2_s_pcvt_w120_q20_shared__d2__g1,2,716,709,0.7587614834977884,0.001392277666367816,0.0009452503977044276
r2_s_pcvt_w120_q20_shared__d2__g2,2,716,709,0.7587614834977884,0.001392277666367816,0.0009452503977044276
r2_s_pcvt_w120_q20_shared__d3__g0,3,382,1043,0.5314732902347737,0.0009752187062181742,0.0004982231290410391
r2_s_pcvt_w120_q20_shared__d3__g1,3,382,1043,0.5314732902347737,0.0009752187062181742,0.0004982231290410391
r2_s_pcvt_w120_q20_shared__d3__g2,3,382,1043,0.5314732902347737,0.0009752187062181742,0.0004982231290410391
r2_s_pcvt_w120_qv30_primary__d1__g0,1,2177,0,1.0,0.00284948666784875,0.00284948666784875
r2_s_pcvt_w120_qv30_primary__d1__g1,1,2177,0,1.0,0.00284948666784875,0.00284948666784875
r2_s_pcvt_w120_qv30_primary__d1__g2,1,2177,0,1.0,0.00284948666784875,0.00284948666784875
