candidate_cell_id,d,g,qualified_event_count,confirmed_event_coverage,active_zone_count,gap_pending_zone_count,reentry_pending_zone_count,unqualified_reentry_count,confirmed_density,raw_false_bridged_day_count,preconfirmation_gap_day_count,total_nonconfirmed_gap_day_count,raw_false_bridged_day_ratio,nonconfirmed_gap_ratio,max_raw_false_gap_days,max_total_gap_span_days
r2_s_pct_w120_q20_shared__d1__g0,1,0,5525,0.007784208464047639,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w120_q20_shared__d1__g1,1,1,5268,0.007784208464047639,0,0,0,0,0.9417981429757681,257,514,771,0.0194006190080773,0.058201857024231904,1,3
r2_s_pct_w120_q20_shared__d1__g2,1,2,5131,0.007784208464047639,0,0,0,0,0.9024231464737794,531,818,1349,0.03840867992766727,0.09757685352622061,2,6
r2_s_pct_w120_q20_shared__d2__g0,2,0,3013,0.006216884669426954,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w120_q20_shared__d2__g1,2,1,2916,0.006216884669426954,0,0,0,70,0.9716235982447586,97,194,291,0.00945880058508045,0.028376401755241344,1,3
r2_s_pct_w120_q20_shared__d2__g2,2,2,2868,0.006216884669426954,0,0,0,99,0.9525812619502868,193,303,496,0.018451242829827914,0.047418738049713194,2,6
r2_s_pct_w120_q20_shared__d3__g0,3,0,1682,0.004555970680063791,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w120_q20_shared__d3__g1,3,1,1641,0.004555970680063791,0,0,0,62,0.9834343434343434,41,82,123,0.005521885521885522,0.016565656565656565,1,3
r2_s_pct_w120_q20_shared__d3__g2,3,2,1628,0.004555970680063791,0,0,0,92,0.9760727175511296,67,112,179,0.008956021922202915,0.023927282448870473,2,6
r2_s_pct_w120_qt25_primary__d1__g0,1,0,7671,0.012774437647716524,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w120_qt25_primary__d1__g1,1,1,7236,0.012774437647716524,0,0,0,0,0.9400798934753661,435,870,1305,0.019973368841544607,0.05992010652463382,1,3
r2_s_pct_w120_qt25_primary__d1__g2,1,2,6997,0.012774437647716524,0,0,0,0,0.8986130617977528,913,1397,2310,0.04007198033707865,0.10138693820224719,2,6
r2_s_pct_w120_qt25_primary__d2__g0,2,0,4733,0.010941317700027204,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w120_qt25_primary__d2__g1,2,1,4561,0.010941317700027204,0,0,0,106,0.9714159095945047,172,344,516,0.009528030135165079,0.028584090405495238,1,3
r2_s_pct_w120_qt25_primary__d2__g2,2,2,4472,0.010941317700027204,0,0,0,166,0.9519570055914446,350,535,885,0.01900005428586939,0.04804299440855545,2,6
r2_s_pct_w120_qt25_primary__d3__g0,3,0,2961,0.008730093365578276,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w120_qt25_primary__d3__g1,3,1,2874,0.008730093365578276,0,0,0,98,0.9816880656703851,87,174,261,0.006103978109871606,0.018311934329614817,1,3
r2_s_pct_w120_qt25_primary__d3__g2,3,2,2831,0.008730093365578276,0,0,0,155,0.9693107031520609,173,270,443,0.01198475926567371,0.030689296847939036,2,6
r2_s_pct_w250_q20_shared__d1__g0,1,0,4883,0.007217669290689253,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w250_q20_shared__d1__g1,1,1,4689,0.007217669290689253,0,0,0,0,0.9491036292085702,194,388,582,0.016965456930476606,0.05089637079142982,1,3
r2_s_pct_w250_q20_shared__d1__g2,1,2,4556,0.007217669290689253,0,0,0,0,0.9047936640266778,460,682,1142,0.03834931221342226,0.09520633597332222,2,6
r2_s_pct_w250_q20_shared__d2__g0,2,0,2634,0.005721996367556467,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w250_q20_shared__d2__g1,2,1,2572,0.005721996367556467,0,0,0,49,0.978839590443686,62,124,186,0.007053469852104664,0.021160409556313993,1,3
r2_s_pct_w250_q20_shared__d2__g2,2,2,2525,0.005721996367556467,0,0,0,80,0.9574894279991097,156,226,382,0.01736033830402849,0.04251057200089027,2,6
r2_s_pct_w250_q20_shared__d3__g0,3,0,1442,0.004136543166690054,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w250_q20_shared__d3__g1,3,1,1420,0.004136543166690054,0,0,0,36,0.9895004772510341,22,44,66,0.0034998409163219855,0.010499522748965956,1,3
r2_s_pct_w250_q20_shared__d3__g2,3,2,1403,0.004136543166690054,0,0,0,63,0.978756884343037,56,79,135,0.008811959087332809,0.021243115656963022,2,5
r2_s_pct_w250_qt25_primary__d1__g0,1,0,6957,0.012187506442566226,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w250_qt25_primary__d1__g1,1,1,6556,0.012187506442566226,0,0,0,0,0.9383993035997747,401,802,1203,0.02053356546674177,0.06160069640022531,1,3
r2_s_pct_w250_qt25_primary__d1__g2,1,2,6296,0.012187506442566226,0,0,0,0,0.8884471808794299,921,1380,2301,0.04465021573665584,0.11155281912057012,2,6
r2_s_pct_w250_qt25_primary__d2__g0,2,0,4324,0.010436458507213347,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w250_qt25_primary__d2__g1,2,1,4163,0.010436458507213347,0,0,0,103,0.9701409495548962,161,322,483,0.00995301681503462,0.029859050445103858,1,3
r2_s_pct_w250_qt25_primary__d2__g2,2,2,4056,0.010436458507213347,0,0,0,167,0.9435425685425686,375,564,939,0.022546897546897548,0.056457431457431456,2,6
r2_s_pct_w250_qt25_primary__d3__g0,3,0,2642,0.008199266993910237,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w250_qt25_primary__d3__g1,3,1,2574,0.008199266993910237,0,0,0,106,0.9837229713556211,68,136,204,0.005425676214792946,0.01627702864437884,1,3
r2_s_pct_w250_qt25_primary__d3__g2,3,2,2531,0.008199266993910237,0,0,0,166,0.9697946983402816,154,230,384,0.0121135845197829,0.0302053016597184,2,5
r2_s_pcvt_w120_q20_shared__d1__g0,1,0,1425,0.0018349345567062832,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w120_q20_shared__d1__g1,1,1,1381,0.0018349345567062832,0,0,0,0,0.9570172582220775,44,88,132,0.014327580592640833,0.0429827417779225,1,3
r2_s_pcvt_w120_q20_shared__d1__g2,1,2,1355,0.0018349345567062832,0,0,0,0,0.9242138364779874,96,145,241,0.03018867924528302,0.07578616352201258,2,6
r2_s_pcvt_w120_q20_shared__d2__g0,2,0,716,0.001392277666367816,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w120_q20_shared__d2__g1,2,1,705,0.001392277666367816,0,0,0,14,0.9854175872735307,11,22,33,0.004860804242156429,0.014582412726469289,1,3
r2_s_pcvt_w120_q20_shared__d2__g2,2,2,698,0.001392277666367816,0,0,0,19,0.972101133391456,25,39,64,0.010897994768962511,0.02789886660854403,2,6
r2_s_pcvt_w120_q20_shared__d3__g0,3,0,382,0.0009752187062181742,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w120_q20_shared__d3__g1,3,1,378,0.0009752187062181742,0,0,0,9,0.9923761118170267,4,8,12,0.0025412960609911056,0.007623888182973317,1,3
r2_s_pcvt_w120_q20_shared__d3__g2,3,2,376,0.0009752187062181742,0,0,0,12,0.9873577749683944,8,12,20,0.0050568900126422255,0.012642225031605562,2,4
r2_s_pcvt_w120_qv30_primary__d1__g0,1,0,2177,0.00284948666784875,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w120_qv30_primary__d1__g1,1,1,2102,0.00284948666784875,0,0,0,0,0.9530173313844227,75,150,225,0.015660889538525787,0.046982668615577365,1,3
r2_s_pcvt_w120_qv30_primary__d1__g2,1,2,2054,0.00284948666784875,0,0,0,0,0.9142628205128205,171,257,428,0.034254807692307696,0.08573717948717949,2,6
r2_s_pcvt_w120_qv30_primary__d2__g0,2,0,1108,0.0021820674636571827,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w120_qv30_primary__d2__g1,2,1,1086,0.0021820674636571827,0,0,0,22,0.9814658803706824,22,44,66,0.006178039876439202,0.018534119629317607,1,3
r2_s_pcvt_w120_qv30_primary__d2__g2,2,2,1074,0.0021820674636571827,0,0,0,32,0.9670724958494743,46,73,119,0.012728278915329275,0.032927504150525734,2,6
r2_s_pcvt_w120_qv30_primary__d3__g0,3,0,580,0.0015227646763547548,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w120_qv30_primary__d3__g1,3,1,573,0.0015227646763547548,0,0,0,18,0.9914634146341463,7,14,21,0.002845528455284553,0.00853658536585366,1,3
r2_s_pcvt_w120_qv30_primary__d3__g2,3,2,570,0.0015227646763547548,0,0,0,25,0.9858528698464026,13,22,35,0.005254648342764754,0.014147130153597413,2,6
r2_s_pcvt_w250_q20_shared__d1__g0,1,0,1023,0.0014248027426455034,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w250_q20_shared__d1__g1,1,1,1002,0.0014248027426455034,0,0,0,0,0.9714285714285714,21,42,63,0.009523809523809525,0.02857142857142857,1,3
r2_s_pcvt_w250_q20_shared__d1__g2,1,2,984,0.0014248027426455034,0,0,0,0,0.9398859148749451,57,80,137,0.025010969723562967,0.060114085125054846,2,5
r2_s_pcvt_w250_q20_shared__d2__g0,2,0,532,0.001098202300703887,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w250_q20_shared__d2__g1,2,1,525,0.001098202300703887,0,0,0,6,0.9874401913875598,7,14,21,0.004186602870813397,0.012559808612440191,1,3
r2_s_pcvt_w250_q20_shared__d2__g2,2,2,519,0.001098202300703887,0,0,0,12,0.9734669811320755,19,26,45,0.011202830188679245,0.02653301886792453,2,4
r2_s_pcvt_w250_q20_shared__d3__g0,3,0,275,0.0007563028563902603,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w250_q20_shared__d3__g1,3,1,273,0.0007563028563902603,0,0,0,2,0.994750656167979,2,4,6,0.0017497812773403325,0.005249343832020997,1,3
r2_s_pcvt_w250_q20_shared__d3__g2,3,2,272,0.0007563028563902603,0,0,0,7,0.99128160418483,4,6,10,0.0034873583260680036,0.008718395815170008,2,4
r2_s_pcvt_w250_qv30_primary__d1__g0,1,0,1673,0.002387974718065993,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w250_qv30_primary__d1__g1,1,1,1624,0.002387974718065993,0,0,0,0,0.9606636339309607,49,98,147,0.013112122023013113,0.039336366069039334,1,3
r2_s_pcvt_w250_qv30_primary__d1__g2,1,2,1591,0.002387974718065993,0,0,0,0,0.926690758905524,115,169,284,0.02968508002065049,0.073309241094476,2,5
r2_s_pcvt_w250_qv30_primary__d2__g0,2,0,869,0.0018531748090617986,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w250_qv30_primary__d2__g1,2,1,851,0.0018531748090617986,0,0,0,10,0.9809859154929578,18,36,54,0.006338028169014085,0.019014084507042252,1,3
r2_s_pcvt_w250_qv30_primary__d2__g2,2,2,840,0.0018531748090617986,0,0,0,18,0.9660194174757282,40,58,98,0.013869625520110958,0.03398058252427184,2,4
r2_s_pcvt_w250_qv30_primary__d3__g0,3,0,464,0.0013143838559605578,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w250_qv30_primary__d3__g1,3,1,458,0.0013143838559605578,0,0,0,5,0.9909729187562688,6,12,18,0.003009027081243731,0.009027081243731194,1,3
r2_s_pcvt_w250_qv30_primary__d3__g2,3,2,456,0.0013143838559605578,0,0,0,14,0.987012987012987,10,16,26,0.004995004995004995,0.012987012987012988,2,4
