primary_candidate_cell_id,sidecar_candidate_cell_id,strict_core_confirmed_day_count,strict_core_confirmed_day_share,strict_core_event_count,strict_core_event_share,shell_only_event_count,shell_only_confirmed_day_count,shell_only_confirmed_day_share,strict_core_subset_status
r2_s_pct_w120_qt25_primary__d1__g0,r2_s_pct_w120_q20_shared__d1__g0,12476,0.609358210413207,5377,0.7009516360318081,2294,7998,0.390641789586793,passed
r2_s_pct_w120_qt25_primary__d1__g1,r2_s_pct_w120_q20_shared__d1__g1,12476,0.609358210413207,5152,0.7119955776672194,2084,7998,0.390641789586793,passed
r2_s_pct_w120_qt25_primary__d1__g2,r2_s_pct_w120_q20_shared__d1__g2,12476,0.609358210413207,5044,0.7208803773045591,1953,7998,0.390641789586793,passed
r2_s_pct_w120_qt25_primary__d2__g0,r2_s_pct_w120_q20_shared__d2__g0,12476,0.609358210413207,2950,0.6232833298119586,1783,7998,0.390641789586793,passed
r2_s_pct_w120_qt25_primary__d2__g1,r2_s_pct_w120_q20_shared__d2__g1,12476,0.609358210413207,2870,0.6292479719359789,1691,7998,0.390641789586793,passed
r2_s_pct_w120_qt25_primary__d2__g2,r2_s_pct_w120_q20_shared__d2__g2,12476,0.609358210413207,2837,0.634391771019678,1635,7998,0.390641789586793,passed
r2_s_pct_w120_qt25_primary__d3__g0,r2_s_pct_w120_q20_shared__d3__g0,12476,0.609358210413207,1655,0.5589327929753461,1306,7998,0.390641789586793,passed
r2_s_pct_w120_qt25_primary__d3__g1,r2_s_pct_w120_q20_shared__d3__g1,12476,0.609358210413207,1626,0.5657620041753654,1248,7998,0.390641789586793,passed
r2_s_pct_w120_qt25_primary__d3__g2,r2_s_pct_w120_q20_shared__d3__g2,12476,0.609358210413207,1616,0.5708230307311903,1215,7998,0.390641789586793,passed
r2_s_pct_w250_qt25_primary__d1__g0,r2_s_pct_w250_q20_shared__d1__g0,10853,0.5922187056640839,4762,0.6844904412821619,2195,7473,0.4077812943359162,passed
r2_s_pct_w250_qt25_primary__d1__g1,r2_s_pct_w250_q20_shared__d1__g1,10853,0.5922187056640839,4577,0.6981391092129348,1979,7473,0.4077812943359162,passed
