candidate_cell_id,from_state,to_state,reason_code,transition_count,hard_break_count
r2_s_pct_w120_q20_shared__d1__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,11050,0
r2_s_pct_w120_q20_shared__d1__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,5522,0
r2_s_pct_w120_q20_shared__d1__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,3,3
r2_s_pct_w120_q20_shared__d1__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,5522,0
r2_s_pct_w120_q20_shared__d1__g0,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,3,3
r2_s_pct_w120_q20_shared__d1__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,5525,0
r2_s_pct_w120_q20_shared__d1__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,5525,0
r2_s_pct_w120_q20_shared__d1__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,10793,0
r2_s_pct_w120_q20_shared__d1__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,5522,0
r2_s_pct_w120_q20_shared__d1__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,3,3
r2_s_pct_w120_q20_shared__d1__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,5263,0
r2_s_pct_w120_q20_shared__d1__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,5,5
r2_s_pct_w120_q20_shared__d1__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,514,0
r2_s_pct_w120_q20_shared__d1__g1,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,5782,0
r2_s_pct_w120_q20_shared__d1__g1,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,5525,0
r2_s_pct_w120_q20_shared__d1__g1,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,514,0
r2_s_pct_w120_q20_shared__d1__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,10656,0
r2_s_pct_w120_q20_shared__d1__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,5522,0
r2_s_pct_w120_q20_shared__d1__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,3,3
r2_s_pct_w120_q20_shared__d1__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,5124,0
r2_s_pct_w120_q20_shared__d1__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,7,7
r2_s_pct_w120_q20_shared__d1__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,788,0
r2_s_pct_w120_q20_shared__d1__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,5919,0
r2_s_pct_w120_q20_shared__d1__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,5525,0
r2_s_pct_w120_q20_shared__d1__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,788,0
r2_s_pct_w120_q20_shared__d2__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,6026,0
r2_s_pct_w120_q20_shared__d2__g0,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2512,0
r2_s_pct_w120_q20_shared__d2__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,5522,0
r2_s_pct_w120_q20_shared__d2__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,3,3
r2_s_pct_w120_q20_shared__d2__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,3011,0
r2_s_pct_w120_q20_shared__d2__g0,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,2,2
r2_s_pct_w120_q20_shared__d2__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,3013,0
r2_s_pct_w120_q20_shared__d2__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,5525,0
r2_s_pct_w120_q20_shared__d2__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,5929,0
r2_s_pct_w120_q20_shared__d2__g1,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2512,0
r2_s_pct_w120_q20_shared__d2__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,5522,0
r2_s_pct_w120_q20_shared__d2__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,3,3
r2_s_pct_w120_q20_shared__d2__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,2842,0
r2_s_pct_w120_q20_shared__d2__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,4,4
r2_s_pct_w120_q20_shared__d2__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,194,0
r2_s_pct_w120_q20_shared__d2__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,140,0
r2_s_pct_w120_q20_shared__d2__g1,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,3180,0
r2_s_pct_w120_q20_shared__d2__g1,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,5525,0
r2_s_pct_w120_q20_shared__d2__g1,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,140,0
r2_s_pct_w120_q20_shared__d2__g1,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,194,0
r2_s_pct_w120_q20_shared__d2__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,5881,0
r2_s_pct_w120_q20_shared__d2__g2,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2512,0
r2_s_pct_w120_q20_shared__d2__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,5522,0
r2_s_pct_w120_q20_shared__d2__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,3,3
r2_s_pct_w120_q20_shared__d2__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,2764,0
r2_s_pct_w120_q20_shared__d2__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,5,5
r2_s_pct_w120_q20_shared__d2__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,290,0
r2_s_pct_w120_q20_shared__d2__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,198,0
r2_s_pct_w120_q20_shared__d2__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,3257,0
r2_s_pct_w120_q20_shared__d2__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,5525,0
r2_s_pct_w120_q20_shared__d2__g2,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,198,0
r2_s_pct_w120_q20_shared__d2__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,290,0
r2_s_pct_w120_q20_shared__d3__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,3364,0
r2_s_pct_w120_q20_shared__d3__g0,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,3843,0
r2_s_pct_w120_q20_shared__d3__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,5522,0
r2_s_pct_w120_q20_shared__d3__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,3,3
r2_s_pct_w120_q20_shared__d3__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,1681,0
r2_s_pct_w120_q20_shared__d3__g0,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w120_q20_shared__d3__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,1682,0
r2_s_pct_w120_q20_shared__d3__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,5525,0
